type,level,cate,AUROC,FPR95,AUPR,count
attribute,1,text,69.67,76.28,68.76,1117
object,1,text,67.73,81.33,64.7,2110
swap_attr,2,text,66.98,79.13,65.64,115
swap_attr,1,text,61.83,87.96,60.06,382
attribute,2,text,61.42,83.88,58.81,515
order,2,text,59.96,89.47,59.74,152
order,1,text,58.96,92.26,58.42,1254
object,2,text,57.37,90.08,56.51,1401
relation,2,text,52.55,95.76,52.27,519
relation,1,text,51.59,94.57,51.61,1271
object,1,image,70.75,77.79,69.11,2458
attribute,1,image,66.82,78.6,64.31,1210
swap_attr,1,image,62.62,88.53,61.83,462
swap_attr,2,image,62.53,82.09,60.61,134
object,2,image,61.17,86.03,58.32,1482
attribute,2,image,61.15,83.82,58.44,544
order,1,image,58.11,91.49,54.72,282
flip,1,image,53.03,93.74,52.82,1022
flip,2,image,50.5,95.84,50.57,457
overall,0,0,61.77,85.57,32.47,16887
