type,level,cate,AUROC,FPR95,AUPR,count
attribute,1,text,70.05,75.49,69.1,1171
object,1,text,67.06,82.4,64.32,2488
swap_attr,2,text,66.02,75.41,64.18,122
swap_attr,1,text,62.86,85.86,60.53,403
attribute,2,text,61.28,83.57,58.44,554
order,2,text,59.79,90.96,59.57,166
order,1,text,59.36,90.55,59.0,1556
object,2,text,57.29,89.2,56.2,1463
relation,2,text,52.56,95.57,52.18,542
relation,1,text,51.76,94.89,51.51,1349
object,1,image,70.52,77.95,68.61,2612
attribute,1,image,67.06,78.37,64.52,1267
swap_attr,1,image,62.41,85.83,61.63,487
swap_attr,2,image,62.16,79.72,59.5,143
attribute,2,image,61.25,82.84,58.22,577
object,2,image,60.86,85.12,58.0,1559
order,1,image,57.31,90.88,54.19,307
flip,1,image,53.05,94.29,52.94,1086
flip,2,image,50.73,97.23,50.56,469
overall,0,0,61.93,85.32,31.98,18321
