type,level,cate,AUROC,FPR95,AUPR,count
attribute,1,text,67.48,78.74,66.75,1171
object,1,text,64.9,83.48,62.61,2488
swap_attr,2,text,62.02,81.97,62.68,122
swap_attr,1,text,60.54,85.36,58.06,403
attribute,2,text,60.35,86.64,58.07,554
order,1,text,57.9,90.68,57.73,1556
order,2,text,57.69,90.96,57.9,166
object,2,text,55.5,91.66,55.08,1463
relation,2,text,51.21,94.83,51.31,542
relation,1,text,51.08,94.89,51.21,1349
object,1,image,68.45,79.86,67.42,2612
attribute,1,image,64.66,80.43,62.58,1267
swap_attr,2,image,61.81,82.52,60.62,143
swap_attr,1,image,61.01,88.5,60.79,487
attribute,2,image,59.64,84.23,57.76,577
object,2,image,59.61,87.04,57.23,1559
order,1,image,56.96,92.51,54.56,307
flip,1,image,53.08,93.74,52.51,1086
flip,2,image,50.72,95.52,50.3,469
overall,0,0,59.91,86.68,30.59,18321
