type,level,cate,AUROC,FPR95,AUPR,count
attribute,1,text,69.53,76.6,68.73,1171
object,1,text,66.6,82.72,63.81,2488
swap_attr,2,text,65.82,80.33,64.86,122
swap_attr,1,text,62.85,86.1,60.54,403
attribute,2,text,61.42,83.39,58.79,554
order,2,text,59.93,92.17,60.25,166
order,1,text,59.19,91.39,58.86,1556
object,2,text,57.35,90.23,56.4,1463
relation,2,text,52.77,95.76,52.54,542
relation,1,text,51.49,94.74,51.51,1349
object,1,image,70.38,78.33,68.84,2612
attribute,1,image,66.35,79.16,64.04,1267
swap_attr,1,image,62.46,88.5,61.97,487
swap_attr,2,image,62.37,82.52,60.35,143
attribute,2,image,61.1,83.54,58.37,577
object,2,image,61.04,86.14,58.28,1559
order,1,image,57.59,91.53,54.54,307
flip,1,image,53.12,94.11,52.91,1086
flip,2,image,50.59,96.16,50.6,469
overall,0,0,61.55,85.77,31.77,18321
