benchmark,route,label,seed,count,mean,sd,q01,q05,q25,q50,q75,q95,q99
Internal Strict-TN2031,Frozen base,positive,fixed,2031,0.4766261419790358,0.11611824277018594,0.24968164414167404,0.3056005388498306,0.3864900916814804,0.46466493606567383,0.5645619630813599,0.6823420226573944,0.7302817285060883
Internal Strict-TN2031,Frozen base,negative,fixed,2031,0.2956743908322456,0.14485433960209473,0.036213145777583125,0.05772741325199604,0.1743118017911911,0.3110641837120056,0.40072403848171234,0.5207598507404327,0.6065463185310364
Internal Strict-TN2031,Isolated rejector,positive,17,2031,0.8292068433418232,0.36241895948851505,-0.05076144784688949,0.2656938433647156,0.563576877117157,0.8088279962539673,1.1100847721099854,1.4232847690582275,1.552309513092041
Internal Strict-TN2031,Isolated rejector,negative,17,2031,0.09121393402446848,0.594223507054036,-0.8879261434078216,-0.8402546942234039,-0.4814487397670746,0.19917429983615875,0.5590913593769073,0.9906595945358276,1.2155644536018373
Internal Strict-TN2031,Isolated rejector,positive,42,2031,1.1891490738418875,0.5294258467886692,-0.10385091304779051,0.33476898074150085,0.8047962188720703,1.1848715543746948,1.6099267601966858,2.0190991163253784,2.1750204801559447
Internal Strict-TN2031,Isolated rejector,negative,42,2031,0.14474132570476148,0.7980500682834173,-1.0403200030326842,-0.972832053899765,-0.6601191461086273,0.23455321788787842,0.7746509313583374,1.4028417468070984,1.735174870491028
Internal Strict-TN2031,Isolated rejector,positive,73,2031,1.485718293774897,0.4388822283468994,0.3726339399814606,0.7873268723487854,1.1676664352416992,1.480976939201355,1.8312420845031738,2.172274947166443,2.316281270980835
Internal Strict-TN2031,Isolated rejector,negative,73,2031,0.541195768703386,0.7721693184455717,-0.7135917365550994,-0.6643745303153992,-0.2156684845685959,0.7046099305152893,1.1542039513587952,1.6724625825881958,1.94925491809845
FineCops-Ref,Frozen base,positive,17,9605,0.4034019739432517,0.10238950794137047,0.18049853622913362,0.24939551055431367,0.3314395546913147,0.3941216766834259,0.47324657440185547,0.5812764525413512,0.6520528721809387
FineCops-Ref,Frozen base,negative-text,17,9814,0.37829300518418485,0.11366530486194823,0.08560665056109429,0.19230527952313425,0.3053958937525749,0.3742673695087433,0.45593737065792084,0.5664771676063538,0.6265640032291414
FineCops-Ref,Frozen base,negative-image,17,8507,0.3672172964533148,0.1186319045897986,0.0688957293331623,0.15970633178949356,0.2940487712621689,0.3643166720867157,0.44837531447410583,0.5639463901519776,0.6247998118400574
FineCops-Ref,Isolated rejector,positive,17,9605,0.5282757145594582,0.35879790944225104,-0.3994549858570099,-0.05545172691345215,0.2982076406478882,0.518616795539856,0.773689329624176,1.1172114372253414,1.3275424575805643
FineCops-Ref,Isolated rejector,negative-text,17,9814,0.41037460127004616,0.4179530300956661,-0.7440066254138946,-0.35479524284601205,0.17279504984617233,0.4292793273925781,0.6963782459497452,1.0604774892330173,1.2437800383567812
FineCops-Ref,Isolated rejector,negative-image,17,8507,0.36873498487531386,0.44088564805107233,-0.7683953475952149,-0.48417418599128725,0.11714056134223938,0.3907187879085541,0.6755755841732025,1.044312596321106,1.2544026041030885
FineCops-Ref,Frozen base,positive,42,9605,0.4034019739432517,0.10238950794137047,0.18049853622913362,0.24939551055431367,0.3314395546913147,0.3941216766834259,0.47324657440185547,0.5812764525413512,0.6520528721809387
FineCops-Ref,Frozen base,negative-text,42,9814,0.37829300518418485,0.11366530486194823,0.08560665056109429,0.19230527952313425,0.3053958937525749,0.3742673695087433,0.45593737065792084,0.5664771676063538,0.6265640032291414
FineCops-Ref,Frozen base,negative-image,42,8507,0.3672172964533148,0.1186319045897986,0.0688957293331623,0.15970633178949356,0.2940487712621689,0.3643166720867157,0.44837531447410583,0.5639463901519776,0.6247998118400574
FineCops-Ref,Isolated rejector,positive,42,9605,0.7238302993098005,0.5043940964445851,-0.5312105894088744,-0.09706677198410034,0.38968026638031006,0.7083078622817993,1.0668456554412842,1.5669296264648436,1.8463114213943477
FineCops-Ref,Isolated rejector,negative-text,42,9814,0.5485604063970071,0.576835998545075,-0.8929610854387283,-0.507699978351593,0.197647325694561,0.5654220283031464,0.9467585533857346,1.4644360542297363,1.7380357360839844
FineCops-Ref,Isolated rejector,negative-image,42,8507,0.49428086399688725,0.6023339468542763,-0.926259218454361,-0.6505736708641052,0.12992316484451294,0.513579249382019,0.9134379029273987,1.4477072715759278,1.7221007394790657
