panel,surface,metric,registry_key,value,inference
admission,Visual support,test5,admission_input.arrow_v.test5,0.7423983122907855,standard endpoint
admission,Visual support,category_switch,admission_input.arrow_v.switch_success,0.482421875,functional control
admission,Category text,test5,admission_input.arrow_t.test5,0.7411928057089346,standard endpoint
admission,Category text,category_switch,admission_input.arrow_t.switch_success,0.3229166666666667,functional control
admission,Learned null,test5,admission_input.arrow_n.test5,0.7383082006737919,standard endpoint
admission,Learned null,category_switch,admission_input.arrow_n.switch_success,0.0,functional control
transfer,Internal,auroc_gain,cross_benchmark.internal.auroc_gain,0.02259027418683468,internal anchor; FPR95 contrast has paired image-cluster bootstrap
transfer,Internal,fpr95_reduction,cross_benchmark.internal.fpr95_reduction,0.04185130477597249,internal anchor; FPR95 contrast has paired image-cluster bootstrap
transfer,Internal,fixed_tpr,cross_benchmark.internal.fixed_tpr,0.9573280814048909,internal anchor; FPR95 contrast has paired image-cluster bootstrap
transfer,FineCops,auroc_gain,cross_benchmark.finecops.auroc_gain,0.018866365921079042,point estimate only; no D3-vs-base rejection bootstrap receipt exists
transfer,FineCops,fpr95_reduction,cross_benchmark.finecops.fpr95_reduction,0.014817652136805637,point estimate only; no D3-vs-base rejection bootstrap receipt exists
transfer,FineCops,fixed_tpr,cross_benchmark.finecops.fixed_tpr,0.8004511539128926,point estimate only; no D3-vs-base rejection bootstrap receipt exists
transfer,gRefCOCO,auroc_gain,cross_benchmark.grefcoco.auroc_gain,0.02796468903415872,paired stratified image-cluster bootstrap is available for ordering gains
transfer,gRefCOCO,fpr95_reduction,cross_benchmark.grefcoco.fpr95_reduction,0.032781493257318384,paired stratified image-cluster bootstrap is available for ordering gains
transfer,gRefCOCO,fixed_tpr,cross_benchmark.grefcoco.fixed_tpr,0.9010349102020814,paired stratified image-cluster bootstrap is available for ordering gains
