panel,benchmark,route,seed,series,kind,quantile,score,value,registry_key,source_path,source_sha256,notes
1a,Internal Strict-TN2031,Frozen base,fixed,positive,cdf_knot,0.01,0.24968164414167404,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
1a,Internal Strict-TN2031,Frozen base,fixed,positive,cdf_knot,0.05,0.3056005388498306,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
1a,Internal Strict-TN2031,Frozen base,fixed,positive,cdf_knot,0.25,0.3864900916814804,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
1a,Internal Strict-TN2031,Frozen base,fixed,positive,cdf_knot,0.5,0.46466493606567383,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
1a,Internal Strict-TN2031,Frozen base,fixed,positive,cdf_knot,0.75,0.5645619630813599,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
1a,Internal Strict-TN2031,Frozen base,fixed,positive,cdf_knot,0.95,0.6823420226573944,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
1a,Internal Strict-TN2031,Frozen base,fixed,positive,cdf_knot,0.99,0.7302817285060883,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
1a,Internal Strict-TN2031,Frozen base,fixed,negative,cdf_knot,0.01,0.036213145777583125,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
1a,Internal Strict-TN2031,Frozen base,fixed,negative,cdf_knot,0.05,0.05772741325199604,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
1a,Internal Strict-TN2031,Frozen base,fixed,negative,cdf_knot,0.25,0.1743118017911911,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
1a,Internal Strict-TN2031,Frozen base,fixed,negative,cdf_knot,0.5,0.3110641837120056,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
1a,Internal Strict-TN2031,Frozen base,fixed,negative,cdf_knot,0.75,0.40072403848171234,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
1a,Internal Strict-TN2031,Frozen base,fixed,negative,cdf_knot,0.95,0.5207598507404327,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
1a,Internal Strict-TN2031,Frozen base,fixed,negative,cdf_knot,0.99,0.6065463185310364,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
2a,Internal Strict-TN2031,Isolated rejector,42,positive,cdf_knot,0.01,-0.10385091304779051,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
2a,Internal Strict-TN2031,Isolated rejector,42,positive,cdf_knot,0.05,0.33476898074150085,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
2a,Internal Strict-TN2031,Isolated rejector,42,positive,cdf_knot,0.25,0.8047962188720703,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
2a,Internal Strict-TN2031,Isolated rejector,42,positive,cdf_knot,0.5,1.1848715543746948,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
2a,Internal Strict-TN2031,Isolated rejector,42,positive,cdf_knot,0.75,1.6099267601966858,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
2a,Internal Strict-TN2031,Isolated rejector,42,positive,cdf_knot,0.95,2.0190991163253784,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
2a,Internal Strict-TN2031,Isolated rejector,42,positive,cdf_knot,0.99,2.1750204801559447,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
2a,Internal Strict-TN2031,Isolated rejector,42,negative,cdf_knot,0.01,-1.0403200030326842,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
2a,Internal Strict-TN2031,Isolated rejector,42,negative,cdf_knot,0.05,-0.972832053899765,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
2a,Internal Strict-TN2031,Isolated rejector,42,negative,cdf_knot,0.25,-0.6601191461086273,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
2a,Internal Strict-TN2031,Isolated rejector,42,negative,cdf_knot,0.5,0.23455321788787842,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
2a,Internal Strict-TN2031,Isolated rejector,42,negative,cdf_knot,0.75,0.7746509313583374,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
2a,Internal Strict-TN2031,Isolated rejector,42,negative,cdf_knot,0.95,1.4028417468070984,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
2a,Internal Strict-TN2031,Isolated rejector,42,negative,cdf_knot,0.99,1.735174870491028,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
2a,Internal Strict-TN2031,Isolated rejector,42,positive,domain_positive_q05,0.05,0.33476898074150085,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,"domain q05 from committed quantile receipt; diagnostic, not deployment calibration"
