key,value,unit,surface,status,source_path,source_sha256,source_json_path,notes
b58_capacity.isolated.seed17.auroc,0.8505864661508314,fraction,Strict-TN2031 seed 17,prospectively_frozen_post_release_capacity_control,paper/data/b58_capacity_control_results.json,c916a087ca731f218bdf1ef2b5ad905ce4fb6d1a37753fc4ce6842634070d829,strict2031.points.per_seed.17.isolated.auroc,
b58_capacity.isolated.seed17.fpr95,0.46971935007385524,fraction,Strict-TN2031 seed 17,prospectively_frozen_post_release_capacity_control,paper/data/b58_capacity_control_results.json,c916a087ca731f218bdf1ef2b5ad905ce4fb6d1a37753fc4ce6842634070d829,strict2031.points.per_seed.17.isolated.fpr95,
b58_capacity.isolated.seed17.positive_aupr,0.8341907781648178,fraction,Strict-TN2031 seed 17,prospectively_frozen_post_release_capacity_control,paper/data/b58_capacity_control_results.json,c916a087ca731f218bdf1ef2b5ad905ce4fb6d1a37753fc4ce6842634070d829,strict2031.points.per_seed.17.isolated.positive_aupr,
b58_capacity.isolated.seed17.test5,0.7429041945170978,fraction,Test5 micro seed 17,prospectively_frozen_post_release_capacity_control,paper/data/b58_capacity_control_results.json,c916a087ca731f218bdf1ef2b5ad905ce4fb6d1a37753fc4ce6842634070d829,ref_test5.points.per_seed.17.micro.isolated,
b58_capacity.isolated.seed42.auroc,0.8470024322654202,fraction,Strict-TN2031 seed 42,prospectively_frozen_post_release_capacity_control,paper/data/b58_capacity_control_results.json,c916a087ca731f218bdf1ef2b5ad905ce4fb6d1a37753fc4ce6842634070d829,strict2031.points.per_seed.42.isolated.auroc,
b58_capacity.isolated.seed42.fpr95,0.4741506646971935,fraction,Strict-TN2031 seed 42,prospectively_frozen_post_release_capacity_control,paper/data/b58_capacity_control_results.json,c916a087ca731f218bdf1ef2b5ad905ce4fb6d1a37753fc4ce6842634070d829,strict2031.points.per_seed.42.isolated.fpr95,
b58_capacity.isolated.seed42.positive_aupr,0.8299313828462804,fraction,Strict-TN2031 seed 42,prospectively_frozen_post_release_capacity_control,paper/data/b58_capacity_control_results.json,c916a087ca731f218bdf1ef2b5ad905ce4fb6d1a37753fc4ce6842634070d829,strict2031.points.per_seed.42.isolated.positive_aupr,
b58_capacity.isolated.seed42.test5,0.7434854209047758,fraction,Test5 micro seed 42,prospectively_frozen_post_release_capacity_control,paper/data/b58_capacity_control_results.json,c916a087ca731f218bdf1ef2b5ad905ce4fb6d1a37753fc4ce6842634070d829,ref_test5.points.per_seed.42.micro.isolated,
b58_capacity.isolated.seed73.auroc,0.8446933195247179,fraction,Strict-TN2031 seed 73,prospectively_frozen_post_release_capacity_control,paper/data/b58_capacity_control_results.json,c916a087ca731f218bdf1ef2b5ad905ce4fb6d1a37753fc4ce6842634070d829,strict2031.points.per_seed.73.isolated.auroc,
b58_capacity.isolated.seed73.fpr95,0.47464303298867555,fraction,Strict-TN2031 seed 73,prospectively_frozen_post_release_capacity_control,paper/data/b58_capacity_control_results.json,c916a087ca731f218bdf1ef2b5ad905ce4fb6d1a37753fc4ce6842634070d829,strict2031.points.per_seed.73.isolated.fpr95,
b58_capacity.isolated.seed73.positive_aupr,0.8283753495956937,fraction,Strict-TN2031 seed 73,prospectively_frozen_post_release_capacity_control,paper/data/b58_capacity_control_results.json,c916a087ca731f218bdf1ef2b5ad905ce4fb6d1a37753fc4ce6842634070d829,strict2031.points.per_seed.73.isolated.positive_aupr,
b58_capacity.isolated.seed73.test5,0.7429364848719687,fraction,Test5 micro seed 73,prospectively_frozen_post_release_capacity_control,paper/data/b58_capacity_control_results.json,c916a087ca731f218bdf1ef2b5ad905ce4fb6d1a37753fc4ce6842634070d829,ref_test5.points.per_seed.73.micro.isolated,
b58_capacity.shared_wide.seed17.auroc,0.8455105393723722,fraction,Strict-TN2031 seed 17,prospectively_frozen_post_release_capacity_control,paper/data/b58_capacity_control_results.json,c916a087ca731f218bdf1ef2b5ad905ce4fb6d1a37753fc4ce6842634070d829,strict2031.points.per_seed.17.shared_wide.auroc,
b58_capacity.shared_wide.seed17.cosine_mean,0.2004702591016821,fraction,U150 training trajectory,mechanism,paper/data/b58_capacity_control_results.json,c916a087ca731f218bdf1ef2b5ad905ce4fb6d1a37753fc4ce6842634070d829,training_audit.shared_wide.per_seed.17.gradient_audit.cosine_mean,
b58_capacity.shared_wide.seed17.fpr95,0.48005908419497784,fraction,Strict-TN2031 seed 17,prospectively_frozen_post_release_capacity_control,paper/data/b58_capacity_control_results.json,c916a087ca731f218bdf1ef2b5ad905ce4fb6d1a37753fc4ce6842634070d829,strict2031.points.per_seed.17.shared_wide.fpr95,
b58_capacity.shared_wide.seed17.negative_cosine_fraction,0.1554054054054054,fraction,U150 training trajectory,mechanism,paper/data/b58_capacity_control_results.json,c916a087ca731f218bdf1ef2b5ad905ce4fb6d1a37753fc4ce6842634070d829,training_audit.shared_wide.per_seed.17.gradient_audit.negative_cosine_fraction,
b58_capacity.shared_wide.seed17.positive_aupr,0.8291056026025015,fraction,Strict-TN2031 seed 17,prospectively_frozen_post_release_capacity_control,paper/data/b58_capacity_control_results.json,c916a087ca731f218bdf1ef2b5ad905ce4fb6d1a37753fc4ce6842634070d829,strict2031.points.per_seed.17.shared_wide.positive_aupr,
b58_capacity.shared_wide.seed17.test5,0.6872033323646227,fraction,Test5 micro seed 17,prospectively_frozen_post_release_capacity_control,paper/data/b58_capacity_control_results.json,c916a087ca731f218bdf1ef2b5ad905ce4fb6d1a37753fc4ce6842634070d829,ref_test5.points.per_seed.17.micro.shared_wide,
b58_capacity.shared_wide.seed42.auroc,0.8442070118965973,fraction,Strict-TN2031 seed 42,prospectively_frozen_post_release_capacity_control,paper/data/b58_capacity_control_results.json,c916a087ca731f218bdf1ef2b5ad905ce4fb6d1a37753fc4ce6842634070d829,strict2031.points.per_seed.42.shared_wide.auroc,
b58_capacity.shared_wide.seed42.cosine_mean,0.14540309195191167,fraction,U150 training trajectory,mechanism,paper/data/b58_capacity_control_results.json,c916a087ca731f218bdf1ef2b5ad905ce4fb6d1a37753fc4ce6842634070d829,training_audit.shared_wide.per_seed.42.gradient_audit.cosine_mean,
b58_capacity.shared_wide.seed42.fpr95,0.4815361890694239,fraction,Strict-TN2031 seed 42,prospectively_frozen_post_release_capacity_control,paper/data/b58_capacity_control_results.json,c916a087ca731f218bdf1ef2b5ad905ce4fb6d1a37753fc4ce6842634070d829,strict2031.points.per_seed.42.shared_wide.fpr95,
b58_capacity.shared_wide.seed42.negative_cosine_fraction,0.25,fraction,U150 training trajectory,mechanism,paper/data/b58_capacity_control_results.json,c916a087ca731f218bdf1ef2b5ad905ce4fb6d1a37753fc4ce6842634070d829,training_audit.shared_wide.per_seed.42.gradient_audit.negative_cosine_fraction,
b58_capacity.shared_wide.seed42.positive_aupr,0.8281613356239764,fraction,Strict-TN2031 seed 42,prospectively_frozen_post_release_capacity_control,paper/data/b58_capacity_control_results.json,c916a087ca731f218bdf1ef2b5ad905ce4fb6d1a37753fc4ce6842634070d829,strict2031.points.per_seed.42.shared_wide.positive_aupr,
b58_capacity.shared_wide.seed42.test5,0.6981820530207627,fraction,Test5 micro seed 42,prospectively_frozen_post_release_capacity_control,paper/data/b58_capacity_control_results.json,c916a087ca731f218bdf1ef2b5ad905ce4fb6d1a37753fc4ce6842634070d829,ref_test5.points.per_seed.42.micro.shared_wide,
b58_capacity.shared_wide.seed73.auroc,0.8426773004641741,fraction,Strict-TN2031 seed 73,prospectively_frozen_post_release_capacity_control,paper/data/b58_capacity_control_results.json,c916a087ca731f218bdf1ef2b5ad905ce4fb6d1a37753fc4ce6842634070d829,strict2031.points.per_seed.73.shared_wide.auroc,
