key,value,unit,surface,status,source_path,source_sha256,source_json_path,notes
strong_cross_probe.shared_128.refcoco.confidence_gradient_l2,0.02056455423977847,score,"refcoco val, fixed zero-update probe",post_release_zero_update_mechanism,paper/data/mmgdino_e5_cross_dataset_probe_results.json,b9c631cc057410f1ed1fbf4f91aae6ac17521bba8f47eb9bd6e4e19e112c7839,aggregate.shared_128.refcoco.confidence_gradient_l2.mean,
strong_cross_probe.shared_128.refcoco.cosine,0.0714461423534279,fraction,"refcoco val, fixed zero-update probe",post_release_zero_update_mechanism,paper/data/mmgdino_e5_cross_dataset_probe_results.json,b9c631cc057410f1ed1fbf4f91aae6ac17521bba8f47eb9bd6e4e19e112c7839,aggregate.shared_128.refcoco.cosine.mean,
strong_cross_probe.shared_128.refcoco.native_oracle_positive_negative_gap,0.627300833662351,score,"refcoco val, fixed zero-update probe",post_release_zero_update_mechanism,paper/data/mmgdino_e5_cross_dataset_probe_results.json,b9c631cc057410f1ed1fbf4f91aae6ac17521bba8f47eb9bd6e4e19e112c7839,aggregate.shared_128.refcoco.native_oracle_positive_negative_gap.mean,
strong_cross_probe.shared_128.refcoco.native_p1,0.89453125,fraction,"refcoco val, fixed zero-update probe",post_release_zero_update_mechanism,paper/data/mmgdino_e5_cross_dataset_probe_results.json,b9c631cc057410f1ed1fbf4f91aae6ac17521bba8f47eb9bd6e4e19e112c7839,aggregate.shared_128.refcoco.native_p1.mean,
strong_cross_probe.shared_128.refcoco.native_top1_runnerup_margin,0.6898513485987982,score,"refcoco val, fixed zero-update probe",post_release_zero_update_mechanism,paper/data/mmgdino_e5_cross_dataset_probe_results.json,b9c631cc057410f1ed1fbf4f91aae6ac17521bba8f47eb9bd6e4e19e112c7839,aggregate.shared_128.refcoco.native_top1_runnerup_margin.mean,
strong_cross_probe.shared_128.refcoco.rank_gradient_l2,0.0372171465617915,score,"refcoco val, fixed zero-update probe",post_release_zero_update_mechanism,paper/data/mmgdino_e5_cross_dataset_probe_results.json,b9c631cc057410f1ed1fbf4f91aae6ac17521bba8f47eb9bd6e4e19e112c7839,aggregate.shared_128.refcoco.rank_gradient_l2.mean,
strong_cross_probe.shared_128.refcoco.rank_loss,0.4380400348454714,score,"refcoco val, fixed zero-update probe",post_release_zero_update_mechanism,paper/data/mmgdino_e5_cross_dataset_probe_results.json,b9c631cc057410f1ed1fbf4f91aae6ac17521bba8f47eb9bd6e4e19e112c7839,aggregate.shared_128.refcoco.rank_loss.mean,
strong_cross_probe.shared_128.refcoco.seed17.cosine,0.1100112390704453,fraction,"refcoco val seed17, fixed zero-update probe",post_release_zero_update_mechanism,paper/data/mmgdino_e5_cross_dataset_probe_results.json,b9c631cc057410f1ed1fbf4f91aae6ac17521bba8f47eb9bd6e4e19e112c7839,aggregate.shared_128.refcoco.cosine.values.0,
strong_cross_probe.shared_128.refcoco.seed42.cosine,0.09925190964713693,fraction,"refcoco val seed42, fixed zero-update probe",post_release_zero_update_mechanism,paper/data/mmgdino_e5_cross_dataset_probe_results.json,b9c631cc057410f1ed1fbf4f91aae6ac17521bba8f47eb9bd6e4e19e112c7839,aggregate.shared_128.refcoco.cosine.values.1,
strong_cross_probe.shared_128.refcoco.seed73.cosine,0.005075278342701495,fraction,"refcoco val seed73, fixed zero-update probe",post_release_zero_update_mechanism,paper/data/mmgdino_e5_cross_dataset_probe_results.json,b9c631cc057410f1ed1fbf4f91aae6ac17521bba8f47eb9bd6e4e19e112c7839,aggregate.shared_128.refcoco.cosine.values.2,
strong_cross_probe.shared_128.refcoco.sign_conflict_fraction,0.4857034596304099,fraction,"refcoco val, fixed zero-update probe",post_release_zero_update_mechanism,paper/data/mmgdino_e5_cross_dataset_probe_results.json,b9c631cc057410f1ed1fbf4f91aae6ac17521bba8f47eb9bd6e4e19e112c7839,aggregate.shared_128.refcoco.sign_conflict_fraction.mean,
strong_cross_probe.shared_128.refcocog.confidence_gradient_l2,0.02056455423977847,score,"refcocog val, fixed zero-update probe",post_release_zero_update_mechanism,paper/data/mmgdino_e5_cross_dataset_probe_results.json,b9c631cc057410f1ed1fbf4f91aae6ac17521bba8f47eb9bd6e4e19e112c7839,aggregate.shared_128.refcocog.confidence_gradient_l2.mean,
strong_cross_probe.shared_128.refcocog.cosine,0.07923918696178589,fraction,"refcocog val, fixed zero-update probe",post_release_zero_update_mechanism,paper/data/mmgdino_e5_cross_dataset_probe_results.json,b9c631cc057410f1ed1fbf4f91aae6ac17521bba8f47eb9bd6e4e19e112c7839,aggregate.shared_128.refcocog.cosine.mean,
strong_cross_probe.shared_128.refcocog.native_oracle_positive_negative_gap,0.5215045760075251,score,"refcocog val, fixed zero-update probe",post_release_zero_update_mechanism,paper/data/mmgdino_e5_cross_dataset_probe_results.json,b9c631cc057410f1ed1fbf4f91aae6ac17521bba8f47eb9bd6e4e19e112c7839,aggregate.shared_128.refcocog.native_oracle_positive_negative_gap.mean,
strong_cross_probe.shared_128.refcocog.native_p1,0.8268229166666666,fraction,"refcocog val, fixed zero-update probe",post_release_zero_update_mechanism,paper/data/mmgdino_e5_cross_dataset_probe_results.json,b9c631cc057410f1ed1fbf4f91aae6ac17521bba8f47eb9bd6e4e19e112c7839,aggregate.shared_128.refcocog.native_p1.mean,
strong_cross_probe.shared_128.refcocog.native_top1_runnerup_margin,0.6500010093053182,score,"refcocog val, fixed zero-update probe",post_release_zero_update_mechanism,paper/data/mmgdino_e5_cross_dataset_probe_results.json,b9c631cc057410f1ed1fbf4f91aae6ac17521bba8f47eb9bd6e4e19e112c7839,aggregate.shared_128.refcocog.native_top1_runnerup_margin.mean,
strong_cross_probe.shared_128.refcocog.rank_gradient_l2,0.040229761584972344,score,"refcocog val, fixed zero-update probe",post_release_zero_update_mechanism,paper/data/mmgdino_e5_cross_dataset_probe_results.json,b9c631cc057410f1ed1fbf4f91aae6ac17521bba8f47eb9bd6e4e19e112c7839,aggregate.shared_128.refcocog.rank_gradient_l2.mean,
strong_cross_probe.shared_128.refcocog.rank_loss,0.4925304340819518,score,"refcocog val, fixed zero-update probe",post_release_zero_update_mechanism,paper/data/mmgdino_e5_cross_dataset_probe_results.json,b9c631cc057410f1ed1fbf4f91aae6ac17521bba8f47eb9bd6e4e19e112c7839,aggregate.shared_128.refcocog.rank_loss.mean,
strong_cross_probe.shared_128.refcocog.seed17.cosine,0.07562387600773945,fraction,"refcocog val seed17, fixed zero-update probe",post_release_zero_update_mechanism,paper/data/mmgdino_e5_cross_dataset_probe_results.json,b9c631cc057410f1ed1fbf4f91aae6ac17521bba8f47eb9bd6e4e19e112c7839,aggregate.shared_128.refcocog.cosine.values.0,
strong_cross_probe.shared_128.refcocog.seed42.cosine,0.1534992717206478,fraction,"refcocog val seed42, fixed zero-update probe",post_release_zero_update_mechanism,paper/data/mmgdino_e5_cross_dataset_probe_results.json,b9c631cc057410f1ed1fbf4f91aae6ac17521bba8f47eb9bd6e4e19e112c7839,aggregate.shared_128.refcocog.cosine.values.1,
strong_cross_probe.shared_128.refcocog.seed73.cosine,0.008594413156970404,fraction,"refcocog val seed73, fixed zero-update probe",post_release_zero_update_mechanism,paper/data/mmgdino_e5_cross_dataset_probe_results.json,b9c631cc057410f1ed1fbf4f91aae6ac17521bba8f47eb9bd6e4e19e112c7839,aggregate.shared_128.refcocog.cosine.values.2,
strong_cross_probe.shared_128.refcocog.sign_conflict_fraction,0.4851431871453921,fraction,"refcocog val, fixed zero-update probe",post_release_zero_update_mechanism,paper/data/mmgdino_e5_cross_dataset_probe_results.json,b9c631cc057410f1ed1fbf4f91aae6ac17521bba8f47eb9bd6e4e19e112c7839,aggregate.shared_128.refcocog.sign_conflict_fraction.mean,
strong_cross_probe.shared_128.refcocoplus.confidence_gradient_l2,0.02056455423977847,score,"refcocoplus val, fixed zero-update probe",post_release_zero_update_mechanism,paper/data/mmgdino_e5_cross_dataset_probe_results.json,b9c631cc057410f1ed1fbf4f91aae6ac17521bba8f47eb9bd6e4e19e112c7839,aggregate.shared_128.refcocoplus.confidence_gradient_l2.mean,
strong_cross_probe.shared_128.refcocoplus.cosine,0.0738820935851739,fraction,"refcocoplus val, fixed zero-update probe",post_release_zero_update_mechanism,paper/data/mmgdino_e5_cross_dataset_probe_results.json,b9c631cc057410f1ed1fbf4f91aae6ac17521bba8f47eb9bd6e4e19e112c7839,aggregate.shared_128.refcocoplus.cosine.mean,
strong_cross_probe.shared_128.refcocoplus.native_oracle_positive_negative_gap,0.394901351382335,score,"refcocoplus val, fixed zero-update probe",post_release_zero_update_mechanism,paper/data/mmgdino_e5_cross_dataset_probe_results.json,b9c631cc057410f1ed1fbf4f91aae6ac17521bba8f47eb9bd6e4e19e112c7839,aggregate.shared_128.refcocoplus.native_oracle_positive_negative_gap.mean,
strong_cross_probe.shared_128.refcocoplus.native_p1,0.7447916666666666,fraction,"refcocoplus val, fixed zero-update probe",post_release_zero_update_mechanism,paper/data/mmgdino_e5_cross_dataset_probe_results.json,b9c631cc057410f1ed1fbf4f91aae6ac17521bba8f47eb9bd6e4e19e112c7839,aggregate.shared_128.refcocoplus.native_p1.mean,
strong_cross_probe.shared_128.refcocoplus.native_top1_runnerup_margin,0.5551443385581175,score,"refcocoplus val, fixed zero-update probe",post_release_zero_update_mechanism,paper/data/mmgdino_e5_cross_dataset_probe_results.json,b9c631cc057410f1ed1fbf4f91aae6ac17521bba8f47eb9bd6e4e19e112c7839,aggregate.shared_128.refcocoplus.native_top1_runnerup_margin.mean,
strong_cross_probe.shared_128.refcocoplus.rank_gradient_l2,0.034380575797210135,score,"refcocoplus val, fixed zero-update probe",post_release_zero_update_mechanism,paper/data/mmgdino_e5_cross_dataset_probe_results.json,b9c631cc057410f1ed1fbf4f91aae6ac17521bba8f47eb9bd6e4e19e112c7839,aggregate.shared_128.refcocoplus.rank_gradient_l2.mean,
strong_cross_probe.shared_128.refcocoplus.rank_loss,0.4133186787366867,score,"refcocoplus val, fixed zero-update probe",post_release_zero_update_mechanism,paper/data/mmgdino_e5_cross_dataset_probe_results.json,b9c631cc057410f1ed1fbf4f91aae6ac17521bba8f47eb9bd6e4e19e112c7839,aggregate.shared_128.refcocoplus.rank_loss.mean,
strong_cross_probe.shared_128.refcocoplus.seed17.cosine,0.07518866541795433,fraction,"refcocoplus val seed17, fixed zero-update probe",post_release_zero_update_mechanism,paper/data/mmgdino_e5_cross_dataset_probe_results.json,b9c631cc057410f1ed1fbf4f91aae6ac17521bba8f47eb9bd6e4e19e112c7839,aggregate.shared_128.refcocoplus.cosine.values.0,
strong_cross_probe.shared_128.refcocoplus.seed42.cosine,0.13954265788197517,fraction,"refcocoplus val seed42, fixed zero-update probe",post_release_zero_update_mechanism,paper/data/mmgdino_e5_cross_dataset_probe_results.json,b9c631cc057410f1ed1fbf4f91aae6ac17521bba8f47eb9bd6e4e19e112c7839,aggregate.shared_128.refcocoplus.cosine.values.1,
strong_cross_probe.shared_128.refcocoplus.seed73.cosine,0.00691495745559223,fraction,"refcocoplus val seed73, fixed zero-update probe",post_release_zero_update_mechanism,paper/data/mmgdino_e5_cross_dataset_probe_results.json,b9c631cc057410f1ed1fbf4f91aae6ac17521bba8f47eb9bd6e4e19e112c7839,aggregate.shared_128.refcocoplus.cosine.values.2,
strong_cross_probe.shared_128.refcocoplus.sign_conflict_fraction,0.48510072628657025,fraction,"refcocoplus val, fixed zero-update probe",post_release_zero_update_mechanism,paper/data/mmgdino_e5_cross_dataset_probe_results.json,b9c631cc057410f1ed1fbf4f91aae6ac17521bba8f47eb9bd6e4e19e112c7839,aggregate.shared_128.refcocoplus.sign_conflict_fraction.mean,
strong_cross_probe.shared_wide.refcoco.confidence_gradient_l2,0.05014446626106898,score,"refcoco val, fixed zero-update probe",post_release_zero_update_mechanism,paper/data/mmgdino_e5_cross_dataset_probe_results.json,b9c631cc057410f1ed1fbf4f91aae6ac17521bba8f47eb9bd6e4e19e112c7839,aggregate.shared_wide.refcoco.confidence_gradient_l2.mean,
