key,value,unit,surface,status,source_path,source_sha256,source_json_path,notes
anatomy.eligible_gt_recall50,0.9969042585321655,fraction,val3 seed42,exploratory_mechanism,outputs/u2v5_cvpr_ablation_20260817/zero_training_ps/summary.json,c459bd3323fff5b263bb2210d7c6af20e64491b18be8a54d642e25c6ea59560c,variants.P0_S0.metrics.eligible_recall50,
anatomy.mean_eligible_queries,69.51770613107823,queries,val3 seed42,exploratory_mechanism,outputs/u2v5_cvpr_ablation_20260817/zero_training_ps/summary.json,c459bd3323fff5b263bb2210d7c6af20e64491b18be8a54d642e25c6ea59560c,variants.P0_S0.metrics.eligible_query_count_mean,
efficiency.route.frozen_base.active_params,0,parameters,cumulative route: frozen_base,formal_zero_training_measurement_derived,paper/data/efficiency_receipt.json,0cd0ea5acde4827a0bf21ad554d28258800ca9595c094264d6bfcdf8b8809498,derived from parameter_accounting.phase_active,exact sum of disjoint parameter-owner counts
efficiency.route.frozen_base.cumulative_params,0,parameters,cumulative route: frozen_base,formal_zero_training_measurement_derived,paper/data/efficiency_receipt.json,0cd0ea5acde4827a0bf21ad554d28258800ca9595c094264d6bfcdf8b8809498,derived from parameter_accounting.phase_active,exact sum of disjoint parameter-owner counts
efficiency.route.full_arrow.active_params,83969,parameters,cumulative route: full_arrow,formal_zero_training_measurement_derived,paper/data/efficiency_receipt.json,0cd0ea5acde4827a0bf21ad554d28258800ca9595c094264d6bfcdf8b8809498,derived from parameter_accounting.phase_active,exact sum of disjoint parameter-owner counts
efficiency.route.full_arrow.cumulative_params,402313,parameters,cumulative route: full_arrow,formal_zero_training_measurement_derived,paper/data/efficiency_receipt.json,0cd0ea5acde4827a0bf21ad554d28258800ca9595c094264d6bfcdf8b8809498,derived from parameter_accounting.phase_active,exact sum of disjoint parameter-owner counts
efficiency.route.learned_admission.active_params,268167,parameters,cumulative route: learned_admission,formal_zero_training_measurement_derived,paper/data/efficiency_receipt.json,0cd0ea5acde4827a0bf21ad554d28258800ca9595c094264d6bfcdf8b8809498,derived from parameter_accounting.phase_active,exact sum of disjoint parameter-owner counts
efficiency.route.learned_admission.cumulative_params,318344,parameters,cumulative route: learned_admission,formal_zero_training_measurement_derived,paper/data/efficiency_receipt.json,0cd0ea5acde4827a0bf21ad554d28258800ca9595c094264d6bfcdf8b8809498,derived from parameter_accounting.phase_active,exact sum of disjoint parameter-owner counts
efficiency.route.ranker.active_params,50177,parameters,cumulative route: ranker,formal_zero_training_measurement_derived,paper/data/efficiency_receipt.json,0cd0ea5acde4827a0bf21ad554d28258800ca9595c094264d6bfcdf8b8809498,derived from parameter_accounting.phase_active,exact sum of disjoint parameter-owner counts
efficiency.route.ranker.cumulative_params,50177,parameters,cumulative route: ranker,formal_zero_training_measurement_derived,paper/data/efficiency_receipt.json,0cd0ea5acde4827a0bf21ad554d28258800ca9595c094264d6bfcdf8b8809498,derived from parameter_accounting.phase_active,exact sum of disjoint parameter-owner counts
efficiency.route.static_admission.cumulative_params,50177,parameters,cumulative route: static_admission,formal_zero_training_measurement_derived,paper/data/efficiency_receipt.json,0cd0ea5acde4827a0bf21ad554d28258800ca9595c094264d6bfcdf8b8809498,derived from parameter_accounting.phase_active,exact sum of disjoint parameter-owner counts
main.strict2031.arrow,0.4702117183653372,fraction,Strict-TN2031,confirmatory,outputs/u2v5_cvpr_ablation_20260817/bootstrap/anchor_vs_b58.json,22210948d03d03e11cf7bb77a01ec7f31c6e737dded8c018663a73715f32aad7,strict2031.candidate_seed_mean,
main.strict2031.frozen_base,0.5120630231413097,fraction,Strict-TN2031,confirmatory,outputs/u2v5_cvpr_ablation_20260817/bootstrap/anchor_vs_b58.json,22210948d03d03e11cf7bb77a01ec7f31c6e737dded8c018663a73715f32aad7,strict2031.reference_seed_mean,
main.test5.arrow,0.7423983122907855,fraction,Test5,confirmatory,outputs/u2v5_cvpr_ablation_20260817/bootstrap/anchor_vs_b58.json,22210948d03d03e11cf7bb77a01ec7f31c6e737dded8c018663a73715f32aad7,test5.candidate_seed_mean,
main.test5.frozen_base,0.7216248506571087,fraction,Test5,confirmatory,outputs/u2v5_cvpr_ablation_20260817/bootstrap/anchor_vs_b58.json,22210948d03d03e11cf7bb77a01ec7f31c6e737dded8c018663a73715f32aad7,test5.reference_seed_mean,
