key,value,unit,surface,status,source_path,source_sha256,source_json_path,notes
finecops.subgroup.arrow_t.image.attribute_l1.recall1,0.5096027361220731,fraction,FineCops negative-image attribute|L1,external_descriptive,outputs/arrow_finecops_20260819/results.json,22e714a987ab88de749fd793e43c3d1194f161890d181c83bfe32b8b07b5ba11,metrics.B,
finecops.subgroup.arrow_t.image.attribute_l2.recall1,0.3454650491045639,fraction,FineCops negative-image attribute|L2,external_descriptive,outputs/arrow_finecops_20260819/results.json,22e714a987ab88de749fd793e43c3d1194f161890d181c83bfe32b8b07b5ba11,metrics.B,
finecops.subgroup.arrow_t.image.flip_l1.recall1,0.3182934315531001,fraction,FineCops negative-image flip|L1,external_descriptive,outputs/arrow_finecops_20260819/results.json,22e714a987ab88de749fd793e43c3d1194f161890d181c83bfe32b8b07b5ba11,metrics.B,
finecops.subgroup.arrow_t.image.flip_l2.recall1,0.3226723525230988,fraction,FineCops negative-image flip|L2,external_descriptive,outputs/arrow_finecops_20260819/results.json,22e714a987ab88de749fd793e43c3d1194f161890d181c83bfe32b8b07b5ba11,metrics.B,
finecops.subgroup.arrow_t.image.object_l1.recall1,0.5672537008677897,fraction,FineCops negative-image object|L1,external_descriptive,outputs/arrow_finecops_20260819/results.json,22e714a987ab88de749fd793e43c3d1194f161890d181c83bfe32b8b07b5ba11,metrics.B,
finecops.subgroup.arrow_t.image.object_l2.recall1,0.38742783835792177,fraction,FineCops negative-image object|L2,external_descriptive,outputs/arrow_finecops_20260819/results.json,22e714a987ab88de749fd793e43c3d1194f161890d181c83bfe32b8b07b5ba11,metrics.B,
finecops.subgroup.arrow_t.image.order_l1.recall1,0.32030401737242126,fraction,FineCops negative-image order|L1,external_descriptive,outputs/arrow_finecops_20260819/results.json,22e714a987ab88de749fd793e43c3d1194f161890d181c83bfe32b8b07b5ba11,metrics.B,
finecops.subgroup.arrow_t.image.swap_attr_l1.recall1,0.4161533196440794,fraction,FineCops negative-image swap_attr|L1,external_descriptive,outputs/arrow_finecops_20260819/results.json,22e714a987ab88de749fd793e43c3d1194f161890d181c83bfe32b8b07b5ba11,metrics.B,
finecops.subgroup.arrow_t.image.swap_attr_l2.recall1,0.40326340326340326,fraction,FineCops negative-image swap_attr|L2,external_descriptive,outputs/arrow_finecops_20260819/results.json,22e714a987ab88de749fd793e43c3d1194f161890d181c83bfe32b8b07b5ba11,metrics.B,
finecops.subgroup.arrow_t.positive_l1_p1,0.6589296102385108,fraction,FineCops positive level 1,external_descriptive,outputs/arrow_finecops_20260819/results.json,22e714a987ab88de749fd793e43c3d1194f161890d181c83bfe32b8b07b5ba11,metrics.B,
finecops.subgroup.arrow_t.positive_l2_p1,0.34811985898942416,fraction,FineCops positive level 2,external_descriptive,outputs/arrow_finecops_20260819/results.json,22e714a987ab88de749fd793e43c3d1194f161890d181c83bfe32b8b07b5ba11,metrics.B,
finecops.subgroup.arrow_t.positive_l3_p1,0.2873319179051663,fraction,FineCops positive level 3,external_descriptive,outputs/arrow_finecops_20260819/results.json,22e714a987ab88de749fd793e43c3d1194f161890d181c83bfe32b8b07b5ba11,metrics.B,
finecops.subgroup.arrow_t.text.attribute_l1.recall1,0.5525192143467123,fraction,FineCops negative-text attribute|L1,external_descriptive,outputs/arrow_finecops_20260819/results.json,22e714a987ab88de749fd793e43c3d1194f161890d181c83bfe32b8b07b5ba11,metrics.B,
finecops.subgroup.arrow_t.text.attribute_l2.recall1,0.3483754512635379,fraction,FineCops negative-text attribute|L2,external_descriptive,outputs/arrow_finecops_20260819/results.json,22e714a987ab88de749fd793e43c3d1194f161890d181c83bfe32b8b07b5ba11,metrics.B,
finecops.subgroup.arrow_t.text.object_l1.recall1,0.5344319399785639,fraction,FineCops negative-text object|L1,external_descriptive,outputs/arrow_finecops_20260819/results.json,22e714a987ab88de749fd793e43c3d1194f161890d181c83bfe32b8b07b5ba11,metrics.B,
finecops.subgroup.arrow_t.text.object_l2.recall1,0.37707906128958757,fraction,FineCops negative-text object|L2,external_descriptive,outputs/arrow_finecops_20260819/results.json,22e714a987ab88de749fd793e43c3d1194f161890d181c83bfe32b8b07b5ba11,metrics.B,
finecops.subgroup.arrow_t.text.order_l1.recall1,0.4038131962296487,fraction,FineCops negative-text order|L1,external_descriptive,outputs/arrow_finecops_20260819/results.json,22e714a987ab88de749fd793e43c3d1194f161890d181c83bfe32b8b07b5ba11,metrics.B,
finecops.subgroup.arrow_t.text.order_l2.recall1,0.35341365461847385,fraction,FineCops negative-text order|L2,external_descriptive,outputs/arrow_finecops_20260819/results.json,22e714a987ab88de749fd793e43c3d1194f161890d181c83bfe32b8b07b5ba11,metrics.B,
