key,value,unit,surface,status,source_path,source_sha256,source_json_path,notes
gap_sensitivity.gap_0.acc50,0.6495394140742978,fraction,val3 seed42,exploratory_validation_only,paper/data/gap_sensitivity.json,83bc3cebd3c74be515c1fc54de6b7cc69e331a497d16319be2528d689f7bd507,rows.0.acc50,single-forward sweep; cannot change the sealed Gap3 model
gap_sensitivity.gap_0.eligible_recall50,0.7396179401993356,fraction,val3 seed42,exploratory_validation_only,paper/data/gap_sensitivity.json,83bc3cebd3c74be515c1fc54de6b7cc69e331a497d16319be2528d689f7bd507,rows.0.eligible_recall50,single-forward sweep; cannot change the sealed Gap3 model
gap_sensitivity.gap_0.gap,0.0,relative_margin,val3 seed42,exploratory_validation_only,paper/data/gap_sensitivity.json,83bc3cebd3c74be515c1fc54de6b7cc69e331a497d16319be2528d689f7bd507,rows.0.gap,single-forward sweep setting
gap_sensitivity.gap_0.mean_eligible_queries,1.5984596798550288,queries,val3 seed42,exploratory_validation_only,paper/data/gap_sensitivity.json,83bc3cebd3c74be515c1fc54de6b7cc69e331a497d16319be2528d689f7bd507,rows.0.mean_eligible_queries,single-forward sweep; cannot change the sealed Gap3 model
gap_sensitivity.gap_0p5.acc50,0.6932573240712776,fraction,val3 seed42,exploratory_validation_only,paper/data/gap_sensitivity.json,83bc3cebd3c74be515c1fc54de6b7cc69e331a497d16319be2528d689f7bd507,rows.1.acc50,single-forward sweep; cannot change the sealed Gap3 model
gap_sensitivity.gap_0p5.eligible_recall50,0.8506871035940803,fraction,val3 seed42,exploratory_validation_only,paper/data/gap_sensitivity.json,83bc3cebd3c74be515c1fc54de6b7cc69e331a497d16319be2528d689f7bd507,rows.1.eligible_recall50,single-forward sweep; cannot change the sealed Gap3 model
gap_sensitivity.gap_0p5.gap,0.5,relative_margin,val3 seed42,exploratory_validation_only,paper/data/gap_sensitivity.json,83bc3cebd3c74be515c1fc54de6b7cc69e331a497d16319be2528d689f7bd507,rows.1.gap,single-forward sweep setting
gap_sensitivity.gap_0p5.mean_eligible_queries,2.5298248263364544,queries,val3 seed42,exploratory_validation_only,paper/data/gap_sensitivity.json,83bc3cebd3c74be515c1fc54de6b7cc69e331a497d16319be2528d689f7bd507,rows.1.mean_eligible_queries,single-forward sweep; cannot change the sealed Gap3 model
gap_sensitivity.gap_1.acc50,0.7151540320144971,fraction,val3 seed42,exploratory_validation_only,paper/data/gap_sensitivity.json,83bc3cebd3c74be515c1fc54de6b7cc69e331a497d16319be2528d689f7bd507,rows.2.acc50,single-forward sweep; cannot change the sealed Gap3 model
gap_sensitivity.gap_1.eligible_recall50,0.9240033222591362,fraction,val3 seed42,exploratory_validation_only,paper/data/gap_sensitivity.json,83bc3cebd3c74be515c1fc54de6b7cc69e331a497d16319be2528d689f7bd507,rows.2.eligible_recall50,single-forward sweep; cannot change the sealed Gap3 model
gap_sensitivity.gap_1.gap,1.0,relative_margin,val3 seed42,exploratory_validation_only,paper/data/gap_sensitivity.json,83bc3cebd3c74be515c1fc54de6b7cc69e331a497d16319be2528d689f7bd507,rows.2.gap,single-forward sweep setting
gap_sensitivity.gap_1.mean_eligible_queries,4.425362428269405,queries,val3 seed42,exploratory_validation_only,paper/data/gap_sensitivity.json,83bc3cebd3c74be515c1fc54de6b7cc69e331a497d16319be2528d689f7bd507,rows.2.mean_eligible_queries,single-forward sweep; cannot change the sealed Gap3 model
gap_sensitivity.gap_10.acc50,0.6951072183630324,fraction,val3 seed42,exploratory_validation_only,paper/data/gap_sensitivity.json,83bc3cebd3c74be515c1fc54de6b7cc69e331a497d16319be2528d689f7bd507,rows.6.acc50,single-forward sweep; cannot change the sealed Gap3 model
gap_sensitivity.gap_10.eligible_recall50,1.0,fraction,val3 seed42,exploratory_validation_only,paper/data/gap_sensitivity.json,83bc3cebd3c74be515c1fc54de6b7cc69e331a497d16319be2528d689f7bd507,rows.6.eligible_recall50,single-forward sweep; cannot change the sealed Gap3 model
gap_sensitivity.gap_10.gap,10.0,relative_margin,val3 seed42,exploratory_validation_only,paper/data/gap_sensitivity.json,83bc3cebd3c74be515c1fc54de6b7cc69e331a497d16319be2528d689f7bd507,rows.6.gap,single-forward sweep setting
gap_sensitivity.gap_10.mean_eligible_queries,900.0,queries,val3 seed42,exploratory_validation_only,paper/data/gap_sensitivity.json,83bc3cebd3c74be515c1fc54de6b7cc69e331a497d16319be2528d689f7bd507,rows.6.mean_eligible_queries,single-forward sweep; cannot change the sealed Gap3 model
