key,value,unit,surface,status,source_path,source_sha256,source_json_path,notes
intervention.p0_s0.acc50,0.7245545152521897,fraction,val3 seed42,zero_training_mechanism,outputs/u2v5_cvpr_ablation_20260817/zero_training_ps/summary.json,c459bd3323fff5b263bb2210d7c6af20e64491b18be8a54d642e25c6ea59560c,variants.P0_S0.metrics.acc50,sealed-weight input intervention
intervention.p0_s0.all_query_oracle_recall50,1.0,fraction,val3 seed42,zero_training_mechanism,outputs/u2v5_cvpr_ablation_20260817/zero_training_ps/summary.json,c459bd3323fff5b263bb2210d7c6af20e64491b18be8a54d642e25c6ea59560c,variants.P0_S0.metrics.all_query_oracle_recall50,sealed-weight input intervention
intervention.p0_s0.eligible_mask_hamming_mean,0,queries,val3 seed42,zero_training_mechanism,outputs/u2v5_cvpr_ablation_20260817/zero_training_ps/summary.json,c459bd3323fff5b263bb2210d7c6af20e64491b18be8a54d642e25c6ea59560c,variants.P0_S0.metrics.eligible_mask_hamming_mean,sealed-weight input intervention
intervention.p0_s0.eligible_query_count_mean,69.51770613107823,queries,val3 seed42,zero_training_mechanism,outputs/u2v5_cvpr_ablation_20260817/zero_training_ps/summary.json,c459bd3323fff5b263bb2210d7c6af20e64491b18be8a54d642e25c6ea59560c,variants.P0_S0.metrics.eligible_query_count_mean,sealed-weight input intervention
intervention.p0_s0.eligible_recall50,0.9969042585321655,fraction,val3 seed42,zero_training_mechanism,outputs/u2v5_cvpr_ablation_20260817/zero_training_ps/summary.json,c459bd3323fff5b263bb2210d7c6af20e64491b18be8a54d642e25c6ea59560c,variants.P0_S0.metrics.eligible_recall50,sealed-weight input intervention
intervention.p0_s0.top1_query_churn,0.0,fraction,val3 seed42,zero_training_mechanism,outputs/u2v5_cvpr_ablation_20260817/zero_training_ps/summary.json,c459bd3323fff5b263bb2210d7c6af20e64491b18be8a54d642e25c6ea59560c,variants.P0_S0.metrics.top1_query_churn,sealed-weight input intervention
intervention.p1.acc50,0.40169133192389006,fraction,val3 seed42,zero_training_mechanism,outputs/u2v5_cvpr_ablation_20260817/zero_training_ps/summary.json,c459bd3323fff5b263bb2210d7c6af20e64491b18be8a54d642e25c6ea59560c,variants.P1.metrics.acc50,sealed-weight input intervention
intervention.p1.all_query_oracle_recall50,1.0,fraction,val3 seed42,zero_training_mechanism,outputs/u2v5_cvpr_ablation_20260817/zero_training_ps/summary.json,c459bd3323fff5b263bb2210d7c6af20e64491b18be8a54d642e25c6ea59560c,variants.P1.metrics.all_query_oracle_recall50,sealed-weight input intervention
intervention.p1.eligible_mask_hamming_mean,82.15274841437632,queries,val3 seed42,zero_training_mechanism,outputs/u2v5_cvpr_ablation_20260817/zero_training_ps/summary.json,c459bd3323fff5b263bb2210d7c6af20e64491b18be8a54d642e25c6ea59560c,variants.P1.metrics.eligible_mask_hamming_mean,sealed-weight input intervention
intervention.p1.eligible_query_count_mean,42.02503020235579,queries,val3 seed42,zero_training_mechanism,outputs/u2v5_cvpr_ablation_20260817/zero_training_ps/summary.json,c459bd3323fff5b263bb2210d7c6af20e64491b18be8a54d642e25c6ea59560c,variants.P1.metrics.eligible_query_count_mean,sealed-weight input intervention
intervention.p1.eligible_recall50,0.9941482935668983,fraction,val3 seed42,zero_training_mechanism,outputs/u2v5_cvpr_ablation_20260817/zero_training_ps/summary.json,c459bd3323fff5b263bb2210d7c6af20e64491b18be8a54d642e25c6ea59560c,variants.P1.metrics.eligible_recall50,sealed-weight input intervention
