key,value,unit,surface,status,source_path,source_sha256,source_json_path,notes
strong_pretrain.bootstrap.replicates,5000,replicates,paired image-cluster bootstrap,exact_statistical_protocol,paper/data/mmgdino_pretrain_ownership_results.json,4ff72c188b9df21f8ff22604cf6d5902a165a2cdb1082785a18432f3ee0db514,statistics.bootstrap.replicates,
strong_pretrain.contrast.isolated_vs_shared_wide.fpr95_gain,-0.006893156080748364,absolute,Test5 + RefCOCO TestAB + Strict-TN2031,planned_capacity_controlled_contrast,paper/data/mmgdino_pretrain_ownership_results.json,4ff72c188b9df21f8ff22604cf6d5902a165a2cdb1082785a18432f3ee0db514,statistics.isolated_minus_shared_wide.fpr95_gain,
strong_pretrain.contrast.isolated_vs_shared_wide.test5_gain,-0.0009471837428827179,absolute,Test5 + RefCOCO TestAB + Strict-TN2031,planned_capacity_controlled_contrast,paper/data/mmgdino_pretrain_ownership_results.json,4ff72c188b9df21f8ff22604cf6d5902a165a2cdb1082785a18432f3ee0db514,statistics.isolated_minus_shared_wide.test5_gain,
strong_pretrain.contrast.isolated_vs_shared_wide.testab_gain,-0.0005580357142856984,absolute,Test5 + RefCOCO TestAB + Strict-TN2031,planned_capacity_controlled_contrast,paper/data/mmgdino_pretrain_ownership_results.json,4ff72c188b9df21f8ff22604cf6d5902a165a2cdb1082785a18432f3ee0db514,statistics.isolated_minus_shared_wide.testab_gain,
strong_pretrain.isolated_128.refcoco_testA,0.5923045194743976,fraction,refcoco_testA,prospectively_frozen_capacity_control,paper/data/mmgdino_pretrain_ownership_results.json,4ff72c188b9df21f8ff22604cf6d5902a165a2cdb1082785a18432f3ee0db514,statistics.point_metrics.isolated_128.splits.refcoco_testA.mean,
strong_pretrain.isolated_128.refcoco_testB,0.4677134445534838,fraction,refcoco_testB,prospectively_frozen_capacity_control,paper/data/mmgdino_pretrain_ownership_results.json,4ff72c188b9df21f8ff22604cf6d5902a165a2cdb1082785a18432f3ee0db514,statistics.point_metrics.isolated_128.splits.refcoco_testB.mean,
strong_pretrain.isolated_128.refcocog_test,0.6304589321669097,fraction,refcocog_test,prospectively_frozen_capacity_control,paper/data/mmgdino_pretrain_ownership_results.json,4ff72c188b9df21f8ff22604cf6d5902a165a2cdb1082785a18432f3ee0db514,statistics.point_metrics.isolated_128.splits.refcocog_test.mean,
strong_pretrain.isolated_128.refcocop_testA,0.5888345558272209,fraction,refcocop_testA,prospectively_frozen_capacity_control,paper/data/mmgdino_pretrain_ownership_results.json,4ff72c188b9df21f8ff22604cf6d5902a165a2cdb1082785a18432f3ee0db514,statistics.point_metrics.isolated_128.splits.refcocop_testA.mean,
strong_pretrain.isolated_128.refcocop_testB,0.48380718620031365,fraction,refcocop_testB,prospectively_frozen_capacity_control,paper/data/mmgdino_pretrain_ownership_results.json,4ff72c188b9df21f8ff22604cf6d5902a165a2cdb1082785a18432f3ee0db514,statistics.point_metrics.isolated_128.splits.refcocop_testB.mean,
strong_pretrain.isolated_128.strict_aupr,0.5719781797169863,fraction,Strict-TN2031,prospectively_frozen_capacity_control,paper/data/mmgdino_pretrain_ownership_results.json,4ff72c188b9df21f8ff22604cf6d5902a165a2cdb1082785a18432f3ee0db514,statistics.point_metrics.isolated_128.strict2031_aupr.mean,
strong_pretrain.isolated_128.strict_auroc,0.571924922441691,fraction,Strict-TN2031,prospectively_frozen_capacity_control,paper/data/mmgdino_pretrain_ownership_results.json,4ff72c188b9df21f8ff22604cf6d5902a165a2cdb1082785a18432f3ee0db514,statistics.point_metrics.isolated_128.strict2031_auroc.mean,
strong_pretrain.isolated_128.strict_fpr95,0.9169538815033645,fraction,Strict-TN2031,prospectively_frozen_capacity_control,paper/data/mmgdino_pretrain_ownership_results.json,4ff72c188b9df21f8ff22604cf6d5902a165a2cdb1082785a18432f3ee0db514,statistics.point_metrics.isolated_128.strict2031_fpr95.mean,
strong_pretrain.isolated_128.test5,0.5658669422110282,fraction,Test5 micro,prospectively_frozen_capacity_control,paper/data/mmgdino_pretrain_ownership_results.json,4ff72c188b9df21f8ff22604cf6d5902a165a2cdb1082785a18432f3ee0db514,statistics.point_metrics.isolated_128.test5_micro_p1.mean,
strong_pretrain.isolated_128.testab,0.533265128968254,fraction,RefCOCO testA+testB micro,prospectively_frozen_capacity_control,paper/data/mmgdino_pretrain_ownership_results.json,4ff72c188b9df21f8ff22604cf6d5902a165a2cdb1082785a18432f3ee0db514,statistics.point_metrics.isolated_128.testab_micro_p1.mean,
strong_pretrain.shared_wide.all_milestones.count,96,fraction,fixed all_milestones gradient probes,paired_mechanism_diagnostic,paper/data/mmgdino_pretrain_ownership_results.json,4ff72c188b9df21f8ff22604cf6d5902a165a2cdb1082785a18432f3ee0db514,statistics.gradient_probes.shared_wide.all_milestones.count,
strong_pretrain.shared_wide.all_milestones.mean,0.05099268827143533,fraction,fixed all_milestones gradient probes,paired_mechanism_diagnostic,paper/data/mmgdino_pretrain_ownership_results.json,4ff72c188b9df21f8ff22604cf6d5902a165a2cdb1082785a18432f3ee0db514,statistics.gradient_probes.shared_wide.all_milestones.mean,
strong_pretrain.shared_wide.all_milestones.minimum,-0.27429938316345215,fraction,fixed all_milestones gradient probes,paired_mechanism_diagnostic,paper/data/mmgdino_pretrain_ownership_results.json,4ff72c188b9df21f8ff22604cf6d5902a165a2cdb1082785a18432f3ee0db514,statistics.gradient_probes.shared_wide.all_milestones.minimum,
strong_pretrain.shared_wide.all_milestones.p_negative,0.3854166666666667,fraction,fixed all_milestones gradient probes,paired_mechanism_diagnostic,paper/data/mmgdino_pretrain_ownership_results.json,4ff72c188b9df21f8ff22604cf6d5902a165a2cdb1082785a18432f3ee0db514,statistics.gradient_probes.shared_wide.all_milestones.p_negative,
strong_pretrain.shared_wide.all_milestones.q05,-0.20641886815428734,fraction,fixed all_milestones gradient probes,paired_mechanism_diagnostic,paper/data/mmgdino_pretrain_ownership_results.json,4ff72c188b9df21f8ff22604cf6d5902a165a2cdb1082785a18432f3ee0db514,statistics.gradient_probes.shared_wide.all_milestones.q05,
strong_pretrain.shared_wide.refcoco_testA,0.5931883801779506,fraction,refcoco_testA,prospectively_frozen_capacity_control,paper/data/mmgdino_pretrain_ownership_results.json,4ff72c188b9df21f8ff22604cf6d5902a165a2cdb1082785a18432f3ee0db514,statistics.point_metrics.shared_wide.splits.refcoco_testA.mean,
strong_pretrain.shared_wide.refcoco_testB,0.467909715407262,fraction,refcoco_testB,prospectively_frozen_capacity_control,paper/data/mmgdino_pretrain_ownership_results.json,4ff72c188b9df21f8ff22604cf6d5902a165a2cdb1082785a18432f3ee0db514,statistics.point_metrics.shared_wide.splits.refcoco_testB.mean,
strong_pretrain.shared_wide.refcocog_test,0.632125251683677,fraction,refcocog_test,prospectively_frozen_capacity_control,paper/data/mmgdino_pretrain_ownership_results.json,4ff72c188b9df21f8ff22604cf6d5902a165a2cdb1082785a18432f3ee0db514,statistics.point_metrics.shared_wide.splits.refcocog_test.mean,
strong_pretrain.shared_wide.refcocop_testA,0.5901152637093957,fraction,refcocop_testA,prospectively_frozen_capacity_control,paper/data/mmgdino_pretrain_ownership_results.json,4ff72c188b9df21f8ff22604cf6d5902a165a2cdb1082785a18432f3ee0db514,statistics.point_metrics.shared_wide.splits.refcocop_testA.mean,
strong_pretrain.shared_wide.refcocop_testB,0.48380718620031365,fraction,refcocop_testB,prospectively_frozen_capacity_control,paper/data/mmgdino_pretrain_ownership_results.json,4ff72c188b9df21f8ff22604cf6d5902a165a2cdb1082785a18432f3ee0db514,statistics.point_metrics.shared_wide.splits.refcocop_testB.mean,
strong_pretrain.shared_wide.strict_aupr,0.5915929962269346,fraction,Strict-TN2031,prospectively_frozen_capacity_control,paper/data/mmgdino_pretrain_ownership_results.json,4ff72c188b9df21f8ff22604cf6d5902a165a2cdb1082785a18432f3ee0db514,statistics.point_metrics.shared_wide.strict2031_aupr.mean,
strong_pretrain.shared_wide.strict_auroc,0.5991729376350468,fraction,Strict-TN2031,prospectively_frozen_capacity_control,paper/data/mmgdino_pretrain_ownership_results.json,4ff72c188b9df21f8ff22604cf6d5902a165a2cdb1082785a18432f3ee0db514,statistics.point_metrics.shared_wide.strict2031_auroc.mean,
strong_pretrain.shared_wide.strict_fpr95,0.9100607254226162,fraction,Strict-TN2031,prospectively_frozen_capacity_control,paper/data/mmgdino_pretrain_ownership_results.json,4ff72c188b9df21f8ff22604cf6d5902a165a2cdb1082785a18432f3ee0db514,statistics.point_metrics.shared_wide.strict2031_fpr95.mean,
strong_pretrain.shared_wide.test5,0.5668141259539109,fraction,Test5 micro,prospectively_frozen_capacity_control,paper/data/mmgdino_pretrain_ownership_results.json,4ff72c188b9df21f8ff22604cf6d5902a165a2cdb1082785a18432f3ee0db514,statistics.point_metrics.shared_wide.test5_micro_p1.mean,
strong_pretrain.shared_wide.testab,0.5338231646825397,fraction,RefCOCO testA+testB micro,prospectively_frozen_capacity_control,paper/data/mmgdino_pretrain_ownership_results.json,4ff72c188b9df21f8ff22604cf6d5902a165a2cdb1082785a18432f3ee0db514,statistics.point_metrics.shared_wide.testab_micro_p1.mean,
strong_pretrain.shared_wide.u150.count,24,fraction,fixed u150 gradient probes,paired_mechanism_diagnostic,paper/data/mmgdino_pretrain_ownership_results.json,4ff72c188b9df21f8ff22604cf6d5902a165a2cdb1082785a18432f3ee0db514,statistics.gradient_probes.shared_wide.u150.count,
strong_pretrain.shared_wide.u150.mean,-0.001509784012644862,fraction,fixed u150 gradient probes,paired_mechanism_diagnostic,paper/data/mmgdino_pretrain_ownership_results.json,4ff72c188b9df21f8ff22604cf6d5902a165a2cdb1082785a18432f3ee0db514,statistics.gradient_probes.shared_wide.u150.mean,
strong_pretrain.shared_wide.u150.minimum,-0.17920343577861786,fraction,fixed u150 gradient probes,paired_mechanism_diagnostic,paper/data/mmgdino_pretrain_ownership_results.json,4ff72c188b9df21f8ff22604cf6d5902a165a2cdb1082785a18432f3ee0db514,statistics.gradient_probes.shared_wide.u150.minimum,
strong_pretrain.shared_wide.u150.p_negative,0.4583333333333333,fraction,fixed u150 gradient probes,paired_mechanism_diagnostic,paper/data/mmgdino_pretrain_ownership_results.json,4ff72c188b9df21f8ff22604cf6d5902a165a2cdb1082785a18432f3ee0db514,statistics.gradient_probes.shared_wide.u150.p_negative,
strong_pretrain.shared_wide.u150.q05,-0.1690510906279087,fraction,fixed u150 gradient probes,paired_mechanism_diagnostic,paper/data/mmgdino_pretrain_ownership_results.json,4ff72c188b9df21f8ff22604cf6d5902a165a2cdb1082785a18432f3ee0db514,statistics.gradient_probes.shared_wide.u150.q05,
