key,value,unit,surface,status,source_path,source_sha256,source_json_path,notes
admission_training.a1.refcoco_val.mean,0.6587286936188542,fraction,"refcoco_val, mean over seeds",validation_mechanism,outputs/u2v5_cvpr_ablation_20260817/paper_tables_v3.json,b5ca62d73075feb7760c79eac8d1d86fd3b4b487a2092424df7ceff2fc2be14f,mechanism.admission.A1.by_seed,
admission_training.a1.refcocog_val.mean,0.8057598039215687,fraction,"refcocog_val, mean over seeds",validation_mechanism,outputs/u2v5_cvpr_ablation_20260817/paper_tables_v3.json,b5ca62d73075feb7760c79eac8d1d86fd3b4b487a2092424df7ceff2fc2be14f,mechanism.admission.A1.by_seed,
admission_training.a1.refcocop_val.mean,0.7275206048212183,fraction,"refcocop_val, mean over seeds",validation_mechanism,outputs/u2v5_cvpr_ablation_20260817/paper_tables_v3.json,b5ca62d73075feb7760c79eac8d1d86fd3b4b487a2092424df7ceff2fc2be14f,mechanism.admission.A1.by_seed,
admission_training.a1.seed17.val3_micro,0.7117185140440955,fraction,val3 seed 17,validation_mechanism,outputs/u2v5_cvpr_ablation_20260817/paper_tables_v3.json,b5ca62d73075feb7760c79eac8d1d86fd3b4b487a2092424df7ceff2fc2be14f,mechanism.admission.A1.by_seed.17.micro,
admission_training.a1.seed42.val3_micro,0.7131531259438236,fraction,val3 seed 42,validation_mechanism,outputs/u2v5_cvpr_ablation_20260817/paper_tables_v3.json,b5ca62d73075feb7760c79eac8d1d86fd3b4b487a2092424df7ceff2fc2be14f,mechanism.admission.A1.by_seed.42.micro,
admission_training.a1.seed73.val3_micro,0.7166641498036846,fraction,val3 seed 73,validation_mechanism,outputs/u2v5_cvpr_ablation_20260817/paper_tables_v3.json,b5ca62d73075feb7760c79eac8d1d86fd3b4b487a2092424df7ceff2fc2be14f,mechanism.admission.A1.by_seed.73.micro,
admission_training.a3.refcoco_val.mean,0.6670358747154022,fraction,"refcoco_val, mean over seeds",validation_mechanism,outputs/u2v5_cvpr_ablation_20260817/paper_tables_v3.json,b5ca62d73075feb7760c79eac8d1d86fd3b4b487a2092424df7ceff2fc2be14f,mechanism.admission.A3.by_seed,
admission_training.a3.refcocog_val.mean,0.806781045751634,fraction,"refcocog_val, mean over seeds",validation_mechanism,outputs/u2v5_cvpr_ablation_20260817/paper_tables_v3.json,b5ca62d73075feb7760c79eac8d1d86fd3b4b487a2092424df7ceff2fc2be14f,mechanism.admission.A3.by_seed,
admission_training.a3.refcocop_val.mean,0.7439734771023114,fraction,"refcocop_val, mean over seeds",validation_mechanism,outputs/u2v5_cvpr_ablation_20260817/paper_tables_v3.json,b5ca62d73075feb7760c79eac8d1d86fd3b4b487a2092424df7ceff2fc2be14f,mechanism.admission.A3.by_seed,
admission_training.a3.seed17.val3_micro,0.7224025974025974,fraction,val3 seed 17,validation_mechanism,outputs/u2v5_cvpr_ablation_20260817/paper_tables_v3.json,b5ca62d73075feb7760c79eac8d1d86fd3b4b487a2092424df7ceff2fc2be14f,mechanism.admission.A3.by_seed.17.micro,
admission_training.a3.seed42.val3_micro,0.7249320446994866,fraction,val3 seed 42,validation_mechanism,outputs/u2v5_cvpr_ablation_20260817/paper_tables_v3.json,b5ca62d73075feb7760c79eac8d1d86fd3b4b487a2092424df7ceff2fc2be14f,mechanism.admission.A3.by_seed.42.micro,
admission_training.a3.seed73.val3_micro,0.725007550588946,fraction,val3 seed 73,validation_mechanism,outputs/u2v5_cvpr_ablation_20260817/paper_tables_v3.json,b5ca62d73075feb7760c79eac8d1d86fd3b4b487a2092424df7ceff2fc2be14f,mechanism.admission.A3.by_seed.73.micro,
admission_training.a4.refcoco_val.mean,0.6665128299796935,fraction,"refcoco_val, mean over seeds",validation_mechanism,outputs/u2v5_cvpr_ablation_20260817/paper_tables_v3.json,b5ca62d73075feb7760c79eac8d1d86fd3b4b487a2092424df7ceff2fc2be14f,mechanism.admission.A4.by_seed,
admission_training.a4.refcocog_val.mean,0.8031726579520697,fraction,"refcocog_val, mean over seeds",validation_mechanism,outputs/u2v5_cvpr_ablation_20260817/paper_tables_v3.json,b5ca62d73075feb7760c79eac8d1d86fd3b4b487a2092424df7ceff2fc2be14f,mechanism.admission.A4.by_seed,
admission_training.a4.refcocop_val.mean,0.7443143087314867,fraction,"refcocop_val, mean over seeds",validation_mechanism,outputs/u2v5_cvpr_ablation_20260817/paper_tables_v3.json,b5ca62d73075feb7760c79eac8d1d86fd3b4b487a2092424df7ceff2fc2be14f,mechanism.admission.A4.by_seed,
admission_training.a4.seed17.val3_micro,0.7237994563575959,fraction,val3 seed 17,validation_mechanism,outputs/u2v5_cvpr_ablation_20260817/paper_tables_v3.json,b5ca62d73075feb7760c79eac8d1d86fd3b4b487a2092424df7ceff2fc2be14f,mechanism.admission.A4.by_seed.17.micro,
admission_training.a4.seed42.val3_micro,0.7227801268498943,fraction,val3 seed 42,validation_mechanism,outputs/u2v5_cvpr_ablation_20260817/paper_tables_v3.json,b5ca62d73075feb7760c79eac8d1d86fd3b4b487a2092424df7ceff2fc2be14f,mechanism.admission.A4.by_seed.42.micro,
admission_training.a4.seed73.val3_micro,0.723535185744488,fraction,val3 seed 73,validation_mechanism,outputs/u2v5_cvpr_ablation_20260817/paper_tables_v3.json,b5ca62d73075feb7760c79eac8d1d86fd3b4b487a2092424df7ceff2fc2be14f,mechanism.admission.A4.by_seed.73.micro,
admission_training.a5.refcoco_val.mean,0.6665743646544828,fraction,"refcoco_val, mean over seeds",validation_mechanism,outputs/u2v5_cvpr_ablation_20260817/paper_tables_v3.json,b5ca62d73075feb7760c79eac8d1d86fd3b4b487a2092424df7ceff2fc2be14f,mechanism.admission.A5.by_seed,
admission_training.a5.refcocog_val.mean,0.806781045751634,fraction,"refcocog_val, mean over seeds",validation_mechanism,outputs/u2v5_cvpr_ablation_20260817/paper_tables_v3.json,b5ca62d73075feb7760c79eac8d1d86fd3b4b487a2092424df7ceff2fc2be14f,mechanism.admission.A5.by_seed,
admission_training.a5.refcocop_val.mean,0.7431988597632769,fraction,"refcocop_val, mean over seeds",validation_mechanism,outputs/u2v5_cvpr_ablation_20260817/paper_tables_v3.json,b5ca62d73075feb7760c79eac8d1d86fd3b4b487a2092424df7ceff2fc2be14f,mechanism.admission.A5.by_seed,
admission_training.a5.seed17.val3_micro,0.722327091513138,fraction,val3 seed 17,validation_mechanism,outputs/u2v5_cvpr_ablation_20260817/paper_tables_v3.json,b5ca62d73075feb7760c79eac8d1d86fd3b4b487a2092424df7ceff2fc2be14f,mechanism.admission.A5.by_seed.17.micro,
