key,value,unit,surface,status,source_path,source_sha256,source_json_path,notes
b58_raw_query.contrast.isolated_vs_shared_wide.fpr95_gain,0.005251928442475018,absolute,Test5 + RefCOCO TestAB + Strict-TN2031,planned_strict_same_head_contrast,paper/data/b58_raw_query_ownership_results.json,fc7b03d66765b43782ab11e9f4aa3baec0f74ae5963da7fe699ddb1255e93105,statistics.isolated_minus_shared_wide.fpr95_gain,
b58_raw_query.contrast.isolated_vs_shared_wide.test5_gain,-0.0005274091295596195,absolute,Test5 + RefCOCO TestAB + Strict-TN2031,planned_strict_same_head_contrast,paper/data/b58_raw_query_ownership_results.json,fc7b03d66765b43782ab11e9f4aa3baec0f74ae5963da7fe699ddb1255e93105,statistics.isolated_minus_shared_wide.test5_gain,
b58_raw_query.contrast.isolated_vs_shared_wide.testab_gain,-0.00021701388888883955,absolute,Test5 + RefCOCO TestAB + Strict-TN2031,planned_strict_same_head_contrast,paper/data/b58_raw_query_ownership_results.json,fc7b03d66765b43782ab11e9f4aa3baec0f74ae5963da7fe699ddb1255e93105,statistics.isolated_minus_shared_wide.testab_gain,
b58_raw_query.isolated_128.strict_aupr,0.8027558792020585,fraction,Strict-TN2031,prospectively_frozen_strict_same_head_control,paper/data/b58_raw_query_ownership_results.json,fc7b03d66765b43782ab11e9f4aa3baec0f74ae5963da7fe699ddb1255e93105,statistics.point_metrics.isolated_128.strict2031_aupr.mean,
b58_raw_query.isolated_128.strict_auroc,0.8344881725346412,fraction,Strict-TN2031,prospectively_frozen_strict_same_head_control,paper/data/b58_raw_query_ownership_results.json,fc7b03d66765b43782ab11e9f4aa3baec0f74ae5963da7fe699ddb1255e93105,statistics.point_metrics.isolated_128.strict2031_auroc.mean,
b58_raw_query.isolated_128.strict_fpr95,0.4641391761037255,fraction,Strict-TN2031,prospectively_frozen_strict_same_head_control,paper/data/b58_raw_query_ownership_results.json,fc7b03d66765b43782ab11e9f4aa3baec0f74ae5963da7fe699ddb1255e93105,statistics.point_metrics.isolated_128.strict2031_fpr95.mean,
b58_raw_query.isolated_128.test5,0.7211620222372911,fraction,Test5 micro,prospectively_frozen_strict_same_head_control,paper/data/b58_raw_query_ownership_results.json,fc7b03d66765b43782ab11e9f4aa3baec0f74ae5963da7fe699ddb1255e93105,statistics.point_metrics.isolated_128.test5_micro_p1.mean,
b58_raw_query.isolated_128.testab,0.6580171130952381,fraction,RefCOCO testA+testB micro,prospectively_frozen_strict_same_head_control,paper/data/b58_raw_query_ownership_results.json,fc7b03d66765b43782ab11e9f4aa3baec0f74ae5963da7fe699ddb1255e93105,statistics.point_metrics.isolated_128.testab_micro_p1.mean,
b58_raw_query.native.strict_aupr,0.8154707941278956,fraction,Strict-TN2031,prospectively_frozen_strict_same_head_control,paper/data/b58_raw_query_ownership_results.json,fc7b03d66765b43782ab11e9f4aa3baec0f74ae5963da7fe699ddb1255e93105,statistics.point_metrics.native.strict2031_aupr,
b58_raw_query.native.strict_auroc,0.8306712475584618,fraction,Strict-TN2031,prospectively_frozen_strict_same_head_control,paper/data/b58_raw_query_ownership_results.json,fc7b03d66765b43782ab11e9f4aa3baec0f74ae5963da7fe699ddb1255e93105,statistics.point_metrics.native.strict2031_auroc,
b58_raw_query.native.strict_fpr95,0.5022156573116692,fraction,Strict-TN2031,prospectively_frozen_strict_same_head_control,paper/data/b58_raw_query_ownership_results.json,fc7b03d66765b43782ab11e9f4aa3baec0f74ae5963da7fe699ddb1255e93105,statistics.point_metrics.native.strict2031_fpr95,
b58_raw_query.native.test5,0.7204623978817527,fraction,Test5 micro,prospectively_frozen_strict_same_head_control,paper/data/b58_raw_query_ownership_results.json,fc7b03d66765b43782ab11e9f4aa3baec0f74ae5963da7fe699ddb1255e93105,statistics.point_metrics.native.test5_micro_p1,
b58_raw_query.native.testab,0.6569010416666666,fraction,RefCOCO testA+testB micro,prospectively_frozen_strict_same_head_control,paper/data/b58_raw_query_ownership_results.json,fc7b03d66765b43782ab11e9f4aa3baec0f74ae5963da7fe699ddb1255e93105,statistics.point_metrics.native.testab_micro_p1,
b58_raw_query.shared_wide.all_milestones.count,96,fraction,fixed all_milestones gradient probes,paired_mechanism_diagnostic,paper/data/b58_raw_query_ownership_results.json,fc7b03d66765b43782ab11e9f4aa3baec0f74ae5963da7fe699ddb1255e93105,statistics.gradient_probes.shared_wide.all_milestones.count,
b58_raw_query.shared_wide.all_milestones.mean,0.030604846676093683,fraction,fixed all_milestones gradient probes,paired_mechanism_diagnostic,paper/data/b58_raw_query_ownership_results.json,fc7b03d66765b43782ab11e9f4aa3baec0f74ae5963da7fe699ddb1255e93105,statistics.gradient_probes.shared_wide.all_milestones.mean,
b58_raw_query.shared_wide.all_milestones.minimum,-0.6233512759208679,fraction,fixed all_milestones gradient probes,paired_mechanism_diagnostic,paper/data/b58_raw_query_ownership_results.json,fc7b03d66765b43782ab11e9f4aa3baec0f74ae5963da7fe699ddb1255e93105,statistics.gradient_probes.shared_wide.all_milestones.minimum,
b58_raw_query.shared_wide.all_milestones.p_negative,0.4791666666666667,fraction,fixed all_milestones gradient probes,paired_mechanism_diagnostic,paper/data/b58_raw_query_ownership_results.json,fc7b03d66765b43782ab11e9f4aa3baec0f74ae5963da7fe699ddb1255e93105,statistics.gradient_probes.shared_wide.all_milestones.p_negative,
b58_raw_query.shared_wide.all_milestones.q05,-0.4471116289496422,fraction,fixed all_milestones gradient probes,paired_mechanism_diagnostic,paper/data/b58_raw_query_ownership_results.json,fc7b03d66765b43782ab11e9f4aa3baec0f74ae5963da7fe699ddb1255e93105,statistics.gradient_probes.shared_wide.all_milestones.q05,
b58_raw_query.shared_wide.strict_aupr,0.8174849950667508,fraction,Strict-TN2031,prospectively_frozen_strict_same_head_control,paper/data/b58_raw_query_ownership_results.json,fc7b03d66765b43782ab11e9f4aa3baec0f74ae5963da7fe699ddb1255e93105,statistics.point_metrics.shared_wide.strict2031_aupr.mean,
b58_raw_query.shared_wide.strict_auroc,0.8405020879793369,fraction,Strict-TN2031,prospectively_frozen_strict_same_head_control,paper/data/b58_raw_query_ownership_results.json,fc7b03d66765b43782ab11e9f4aa3baec0f74ae5963da7fe699ddb1255e93105,statistics.point_metrics.shared_wide.strict2031_auroc.mean,
b58_raw_query.shared_wide.strict_fpr95,0.46939110454620053,fraction,Strict-TN2031,prospectively_frozen_strict_same_head_control,paper/data/b58_raw_query_ownership_results.json,fc7b03d66765b43782ab11e9f4aa3baec0f74ae5963da7fe699ddb1255e93105,statistics.point_metrics.shared_wide.strict2031_fpr95.mean,
b58_raw_query.shared_wide.test5,0.7216894313668507,fraction,Test5 micro,prospectively_frozen_strict_same_head_control,paper/data/b58_raw_query_ownership_results.json,fc7b03d66765b43782ab11e9f4aa3baec0f74ae5963da7fe699ddb1255e93105,statistics.point_metrics.shared_wide.test5_micro_p1.mean,
b58_raw_query.shared_wide.testab,0.658234126984127,fraction,RefCOCO testA+testB micro,prospectively_frozen_strict_same_head_control,paper/data/b58_raw_query_ownership_results.json,fc7b03d66765b43782ab11e9f4aa3baec0f74ae5963da7fe699ddb1255e93105,statistics.point_metrics.shared_wide.testab_micro_p1.mean,
b58_raw_query.shared_wide.u150.count,24,fraction,fixed u150 gradient probes,paired_mechanism_diagnostic,paper/data/b58_raw_query_ownership_results.json,fc7b03d66765b43782ab11e9f4aa3baec0f74ae5963da7fe699ddb1255e93105,statistics.gradient_probes.shared_wide.u150.count,
