key,value,unit,surface,status,source_path,source_sha256,source_json_path,notes
strong_e6.e6_posctrl.contrast.isolated_vs_shared_wide.fpr95_gain,-0.001805350402100725,absolute,RefCOCO TestAB + Strict-TN2031,planned_capacity_controlled_contrast,paper/data/mmgdino_e6_ownership_2x2_results.json,7ebaf3bc04e386c7cb82a44974a627dc1a7c7939cc9eec93bde8191eaae954a1,statistics.within_trunk_contrasts.e6_posctrl.fpr95_gain,
strong_e6.e6_posctrl.contrast.isolated_vs_shared_wide.holm_iut_p,1.0,p_value,RefCOCO TestAB + Strict-TN2031,planned_capacity_controlled_contrast,paper/data/mmgdino_e6_ownership_2x2_results.json,7ebaf3bc04e386c7cb82a44974a627dc1a7c7939cc9eec93bde8191eaae954a1,statistics.within_trunk_contrasts.e6_posctrl.holm_iut_p,
strong_e6.e6_posctrl.contrast.isolated_vs_shared_wide.rec_gain,-3.100198412697708e-05,absolute,RefCOCO TestAB + Strict-TN2031,planned_capacity_controlled_contrast,paper/data/mmgdino_e6_ownership_2x2_results.json,7ebaf3bc04e386c7cb82a44974a627dc1a7c7939cc9eec93bde8191eaae954a1,statistics.within_trunk_contrasts.e6_posctrl.rec_gain,
strong_e6.e6_posctrl.isolated_128.strict_fpr95,0.8327589036599377,fraction,Strict-TN2031,prospectively_frozen_capacity_control,paper/data/mmgdino_e6_ownership_2x2_results.json,7ebaf3bc04e386c7cb82a44974a627dc1a7c7939cc9eec93bde8191eaae954a1,statistics.point_metrics.e6_posctrl.isolated_128.strict2031_fpr95.mean,
strong_e6.e6_posctrl.isolated_128.testa,0.9112603853632667,fraction,RefCOCO testA,prospectively_frozen_capacity_control,paper/data/mmgdino_e6_ownership_2x2_results.json,7ebaf3bc04e386c7cb82a44974a627dc1a7c7939cc9eec93bde8191eaae954a1,statistics.point_metrics.e6_posctrl.isolated_128.testA_p1.mean,
strong_e6.e6_posctrl.isolated_128.testab,0.8891059027777778,fraction,RefCOCO testA+testB micro,prospectively_frozen_capacity_control,paper/data/mmgdino_e6_ownership_2x2_results.json,7ebaf3bc04e386c7cb82a44974a627dc1a7c7939cc9eec93bde8191eaae954a1,statistics.point_metrics.e6_posctrl.isolated_128.testAB_micro_p1.mean,
strong_e6.e6_posctrl.isolated_128.testb,0.8645076872751063,fraction,RefCOCO testB,prospectively_frozen_capacity_control,paper/data/mmgdino_e6_ownership_2x2_results.json,7ebaf3bc04e386c7cb82a44974a627dc1a7c7939cc9eec93bde8191eaae954a1,statistics.point_metrics.e6_posctrl.isolated_128.testB_p1.mean,
strong_e6.e6_posctrl.shared_wide.all_milestones.mean,0.010304812568241081,fraction,fixed all_milestones gradient probes,paired_mechanism_diagnostic,paper/data/mmgdino_e6_ownership_2x2_results.json,7ebaf3bc04e386c7cb82a44974a627dc1a7c7939cc9eec93bde8191eaae954a1,statistics.gradient_probes.e6_posctrl.shared_wide.all_milestones.mean,
strong_e6.e6_posctrl.shared_wide.all_milestones.minimum,-0.3538128733634949,fraction,fixed all_milestones gradient probes,paired_mechanism_diagnostic,paper/data/mmgdino_e6_ownership_2x2_results.json,7ebaf3bc04e386c7cb82a44974a627dc1a7c7939cc9eec93bde8191eaae954a1,statistics.gradient_probes.e6_posctrl.shared_wide.all_milestones.minimum,
strong_e6.e6_posctrl.shared_wide.all_milestones.p_negative,0.46875,fraction,fixed all_milestones gradient probes,paired_mechanism_diagnostic,paper/data/mmgdino_e6_ownership_2x2_results.json,7ebaf3bc04e386c7cb82a44974a627dc1a7c7939cc9eec93bde8191eaae954a1,statistics.gradient_probes.e6_posctrl.shared_wide.all_milestones.p_negative,
strong_e6.e6_posctrl.shared_wide.all_milestones.q05,-0.24825213104486465,fraction,fixed all_milestones gradient probes,paired_mechanism_diagnostic,paper/data/mmgdino_e6_ownership_2x2_results.json,7ebaf3bc04e386c7cb82a44974a627dc1a7c7939cc9eec93bde8191eaae954a1,statistics.gradient_probes.e6_posctrl.shared_wide.all_milestones.q05,
strong_e6.e6_posctrl.shared_wide.strict_fpr95,0.8309535532578369,fraction,Strict-TN2031,prospectively_frozen_capacity_control,paper/data/mmgdino_e6_ownership_2x2_results.json,7ebaf3bc04e386c7cb82a44974a627dc1a7c7939cc9eec93bde8191eaae954a1,statistics.point_metrics.e6_posctrl.shared_wide.strict2031_fpr95.mean,
strong_e6.e6_posctrl.shared_wide.testa,0.9112603853632667,fraction,RefCOCO testA,prospectively_frozen_capacity_control,paper/data/mmgdino_e6_ownership_2x2_results.json,7ebaf3bc04e386c7cb82a44974a627dc1a7c7939cc9eec93bde8191eaae954a1,statistics.point_metrics.e6_posctrl.shared_wide.testA_p1.mean,
strong_e6.e6_posctrl.shared_wide.testab,0.8891369047619048,fraction,RefCOCO testA+testB micro,prospectively_frozen_capacity_control,paper/data/mmgdino_e6_ownership_2x2_results.json,7ebaf3bc04e386c7cb82a44974a627dc1a7c7939cc9eec93bde8191eaae954a1,statistics.point_metrics.e6_posctrl.shared_wide.testAB_micro_p1.mean,
strong_e6.e6_posctrl.shared_wide.testb,0.8645731108930325,fraction,RefCOCO testB,prospectively_frozen_capacity_control,paper/data/mmgdino_e6_ownership_2x2_results.json,7ebaf3bc04e386c7cb82a44974a627dc1a7c7939cc9eec93bde8191eaae954a1,statistics.point_metrics.e6_posctrl.shared_wide.testB_p1.mean,
strong_e6.e6_posctrl.shared_wide.u150.mean,-0.04533148907163801,fraction,fixed u150 gradient probes,paired_mechanism_diagnostic,paper/data/mmgdino_e6_ownership_2x2_results.json,7ebaf3bc04e386c7cb82a44974a627dc1a7c7939cc9eec93bde8191eaae954a1,statistics.gradient_probes.e6_posctrl.shared_wide.u150.mean,
strong_e6.e6_posctrl.shared_wide.u150.minimum,-0.24222353100776672,fraction,fixed u150 gradient probes,paired_mechanism_diagnostic,paper/data/mmgdino_e6_ownership_2x2_results.json,7ebaf3bc04e386c7cb82a44974a627dc1a7c7939cc9eec93bde8191eaae954a1,statistics.gradient_probes.e6_posctrl.shared_wide.u150.minimum,
strong_e6.e6_posctrl.shared_wide.u150.p_negative,0.5833333333333334,fraction,fixed u150 gradient probes,paired_mechanism_diagnostic,paper/data/mmgdino_e6_ownership_2x2_results.json,7ebaf3bc04e386c7cb82a44974a627dc1a7c7939cc9eec93bde8191eaae954a1,statistics.gradient_probes.e6_posctrl.shared_wide.u150.p_negative,
strong_e6.e6_posctrl.shared_wide.u150.q05,-0.18198126927018166,fraction,fixed u150 gradient probes,paired_mechanism_diagnostic,paper/data/mmgdino_e6_ownership_2x2_results.json,7ebaf3bc04e386c7cb82a44974a627dc1a7c7939cc9eec93bde8191eaae954a1,statistics.gradient_probes.e6_posctrl.shared_wide.u150.q05,
