key,value,unit,surface,status,source_path,source_sha256,source_json_path,notes
strong_ownership.isolated_128.strict_aupr,0.659599920726856,fraction,Strict-TN2031,prospectively_frozen_transfer,paper/data/mmgdino_e5_ownership_results.json,f0c589d70b134609d8b3219f454db733d70466af689ec63382e230be7d0e4328,secondary.strict2031.isolated_128.aupr.mean,
strong_ownership.isolated_128.strict_auroc,0.671493863820773,fraction,Strict-TN2031,prospectively_frozen_transfer,paper/data/mmgdino_e5_ownership_results.json,f0c589d70b134609d8b3219f454db733d70466af689ec63382e230be7d0e4328,secondary.strict2031.isolated_128.auroc.mean,
strong_ownership.isolated_128.strict_fpr95,0.8421139011980961,fraction,Strict-TN2031,prospectively_frozen_transfer,paper/data/mmgdino_e5_ownership_results.json,f0c589d70b134609d8b3219f454db733d70466af689ec63382e230be7d0e4328,secondary.strict2031.isolated_128.fpr95.mean,
strong_ownership.isolated_128.testa,0.9127334865358553,fraction,RefCOCO testA,prospectively_frozen_transfer,paper/data/mmgdino_e5_ownership_results.json,f0c589d70b134609d8b3219f454db733d70466af689ec63382e230be7d0e4328,secondary.refcoco_localization.isolated_128.testA.mean,
strong_ownership.isolated_128.testab,0.8897569444444443,fraction,RefCOCO testA+testB micro,prospectively_frozen_transfer,paper/data/mmgdino_e5_ownership_results.json,f0c589d70b134609d8b3219f454db733d70466af689ec63382e230be7d0e4328,secondary.refcoco_localization.isolated_128.testAB_micro.mean,
strong_ownership.isolated_128.testb,0.864245992803402,fraction,RefCOCO testB,prospectively_frozen_transfer,paper/data/mmgdino_e5_ownership_results.json,f0c589d70b134609d8b3219f454db733d70466af689ec63382e230be7d0e4328,secondary.refcoco_localization.isolated_128.testB.mean,
strong_ownership.isolated_128.val,0.8933911759276351,fraction,RefCOCO val,mechanism_only,paper/data/mmgdino_e5_ownership_results.json,f0c589d70b134609d8b3219f454db733d70466af689ec63382e230be7d0e4328,secondary.refcoco_val_mechanism_only.isolated_128.p1.mean,
strong_ownership.native.strict_aupr,0.6608011153476454,fraction,Strict-TN2031,prospectively_frozen_transfer,paper/data/mmgdino_e5_ownership_results.json,f0c589d70b134609d8b3219f454db733d70466af689ec63382e230be7d0e4328,secondary.strict2031.native.aupr.mean,
strong_ownership.native.strict_auroc,0.6641181577231882,fraction,Strict-TN2031,prospectively_frozen_transfer,paper/data/mmgdino_e5_ownership_results.json,f0c589d70b134609d8b3219f454db733d70466af689ec63382e230be7d0e4328,secondary.strict2031.native.auroc.mean,
strong_ownership.native.strict_fpr95,0.8828163466272771,fraction,Strict-TN2031,prospectively_frozen_transfer,paper/data/mmgdino_e5_ownership_results.json,f0c589d70b134609d8b3219f454db733d70466af689ec63382e230be7d0e4328,secondary.strict2031.native.fpr95.mean,
strong_ownership.native.testa,0.9126745624889517,fraction,RefCOCO testA,prospectively_frozen_transfer,paper/data/mmgdino_e5_ownership_results.json,f0c589d70b134609d8b3219f454db733d70466af689ec63382e230be7d0e4328,secondary.refcoco_localization.native.testA.mean,
strong_ownership.native.testab,0.8896949404761905,fraction,RefCOCO testA+testB micro,prospectively_frozen_transfer,paper/data/mmgdino_e5_ownership_results.json,f0c589d70b134609d8b3219f454db733d70466af689ec63382e230be7d0e4328,secondary.refcoco_localization.native.testAB_micro.mean,
strong_ownership.native.testb,0.8641805691854759,fraction,RefCOCO testB,prospectively_frozen_transfer,paper/data/mmgdino_e5_ownership_results.json,f0c589d70b134609d8b3219f454db733d70466af689ec63382e230be7d0e4328,secondary.refcoco_localization.native.testB.mean,
strong_ownership.native.val,0.8932988739154514,fraction,RefCOCO val,mechanism_only,paper/data/mmgdino_e5_ownership_results.json,f0c589d70b134609d8b3219f454db733d70466af689ec63382e230be7d0e4328,secondary.refcoco_val_mechanism_only.native.p1.mean,
strong_ownership.official.refcoco_testA,0.914,fraction,standard refcoco_testA,published_model_zoo_reference,paper/data/mmgdino_e5_ownership_results.json,f0c589d70b134609d8b3219f454db733d70466af689ec63382e230be7d0e4328,strong_trunk.official_mmdetection_model_zoo_reference_p1.refcoco_testA,
