key,value,unit,surface,status,source_path,source_sha256,source_json_path,notes
admission_training.a0_a2.seed17_val3_micro,0.7025067955300514,fraction,val3 seed17,single_seed_parity_route,outputs/u2v5_cvpr_ablation_20260817/zero_training_supplement_v3.json,a4a6d43fd705bbabaf578595fed46a8af632676e1c41cd0a92981bb009a43b1c,M_cumulative_routes.M2_static_admission_R100.seed17_val3_micro.by_seed.17,A2 deployment is bitwise equal to the A0 initializer; not a three-seed aggregate
admission_training.a1.test5,0.7354343590902731,fraction,Test5,confirmatory,outputs/u2v5_cvpr_ablation_20260817/paper_tables_v3.json,b5ca62d73075feb7760c79eac8d1d86fd3b4b487a2092424df7ceff2fc2be14f,confirmatory.bootstrap.admission.test5.reference_seed_mean,
admission_training.a1.val3_macro,0.7306697007872137,fraction,val3,mechanism,outputs/u2v5_cvpr_ablation_20260817/paper_tables_v3.json,b5ca62d73075feb7760c79eac8d1d86fd3b4b487a2092424df7ceff2fc2be14f,mechanism.admission.A1.macro.mean,
admission_training.a3.val3_macro,0.7392634658564492,fraction,val3,mechanism,outputs/u2v5_cvpr_ablation_20260817/paper_tables_v3.json,b5ca62d73075feb7760c79eac8d1d86fd3b4b487a2092424df7ceff2fc2be14f,mechanism.admission.A3.macro.mean,
admission_training.a4.val3_macro,0.7379999322210833,fraction,val3,mechanism,outputs/u2v5_cvpr_ablation_20260817/paper_tables_v3.json,b5ca62d73075feb7760c79eac8d1d86fd3b4b487a2092424df7ceff2fc2be14f,mechanism.admission.A4.macro.mean,
admission_training.a5.test5,0.7423983122907855,fraction,Test5,confirmatory,outputs/u2v5_cvpr_ablation_20260817/paper_tables_v3.json,b5ca62d73075feb7760c79eac8d1d86fd3b4b487a2092424df7ceff2fc2be14f,confirmatory.bootstrap.admission.test5.candidate_seed_mean,
admission_training.a5.val3_macro,0.7388514233897979,fraction,val3,mechanism,outputs/u2v5_cvpr_ablation_20260817/paper_tables_v3.json,b5ca62d73075feb7760c79eac8d1d86fd3b4b487a2092424df7ceff2fc2be14f,mechanism.admission.A5.macro.mean,
ownership.o0.calibration_fpr95,0.5732484076433121,fraction,D3 calibration,mechanism,outputs/u2v5_cvpr_ablation_20260817/paper_tables_v3.json,b5ca62d73075feb7760c79eac8d1d86fd3b4b487a2092424df7ceff2fc2be14f,mechanism.ownership.O0.confidence.fpr95.mean,
ownership.o0.calibration_pair_win,0.8038216560509555,fraction,D3 calibration,calibration_mechanism,outputs/u2v5_cvpr_ablation_20260817/paper_tables_v3.json,b5ca62d73075feb7760c79eac8d1d86fd3b4b487a2092424df7ceff2fc2be14f,mechanism.ownership.O0.confidence.pair_win.mean,
ownership.o0.strict2031_fpr95,0.5010667979648777,fraction,Strict-TN2031,confirmatory,outputs/u2v5_cvpr_ablation_20260817/paper_tables_v3.json,b5ca62d73075feb7760c79eac8d1d86fd3b4b487a2092424df7ceff2fc2be14f,confirmatory.bootstrap.ownership_isolation.strict2031.reference_seed_mean,
ownership.o0.test5,0.7430118290333345,fraction,Test5,confirmatory_route_preservation,outputs/u2v5_cvpr_ablation_20260817/paper_tables_v3.json,b5ca62d73075feb7760c79eac8d1d86fd3b4b487a2092424df7ceff2fc2be14f,confirmatory.bootstrap.ownership_isolation.test5.reference_seed_mean,
ownership.o0.val3_macro,0.7394367940974027,fraction,val3,mechanism,outputs/u2v5_cvpr_ablation_20260817/paper_tables_v3.json,b5ca62d73075feb7760c79eac8d1d86fd3b4b487a2092424df7ceff2fc2be14f,mechanism.ownership.O0.ref.macro.mean,
ownership.o1.calibration_fpr95,0.5721868365180467,fraction,D3 calibration,mechanism,outputs/u2v5_cvpr_ablation_20260817/paper_tables_v3.json,b5ca62d73075feb7760c79eac8d1d86fd3b4b487a2092424df7ceff2fc2be14f,mechanism.ownership.O1.confidence.fpr95.mean,
ownership.o1.calibration_pair_win,0.7963906581740977,fraction,D3 calibration,calibration_mechanism,outputs/u2v5_cvpr_ablation_20260817/paper_tables_v3.json,b5ca62d73075feb7760c79eac8d1d86fd3b4b487a2092424df7ceff2fc2be14f,mechanism.ownership.O1.confidence.pair_win.mean,
ownership.o1.val3_macro,0.7386807862772666,fraction,val3,mechanism,outputs/u2v5_cvpr_ablation_20260817/paper_tables_v3.json,b5ca62d73075feb7760c79eac8d1d86fd3b4b487a2092424df7ceff2fc2be14f,mechanism.ownership.O1.ref.macro.mean,
