key,value,unit,surface,status,source_path,source_sha256,source_json_path,notes
admission_input.arrow_n.switch_success,0.0,fraction,fresh category-switch panel,confirmatory_mechanism,outputs/arrow_admission_input_20260818/results.json,398e14081c9c226bf6136a4d5a5578ac385e63dd8dda63258e43aab1cf59f92b,panel.contrasts.category_over_null.reference_by_seed,
admission_input.arrow_n.test5,0.7383082006737919,fraction,Test5,post_release_frozen,outputs/arrow_admission_input_20260818/results.json,398e14081c9c226bf6136a4d5a5578ac385e63dd8dda63258e43aab1cf59f92b,test5.C_minus_A.candidate_seed_mean,
admission_input.arrow_t.switch_success,0.3229166666666667,fraction,fresh category-switch panel,confirmatory_mechanism,outputs/arrow_admission_input_20260818/results.json,398e14081c9c226bf6136a4d5a5578ac385e63dd8dda63258e43aab1cf59f92b,panel.contrasts.visual_over_text.reference_by_seed,
admission_input.arrow_t.test5,0.7411928057089346,fraction,Test5,post_release_frozen,outputs/arrow_admission_input_20260818/results.json,398e14081c9c226bf6136a4d5a5578ac385e63dd8dda63258e43aab1cf59f92b,test5.B_minus_A.candidate_seed_mean,
admission_input.arrow_v.switch_success,0.482421875,fraction,fresh category-switch panel,confirmatory_mechanism,outputs/arrow_admission_input_20260818/results.json,398e14081c9c226bf6136a4d5a5578ac385e63dd8dda63258e43aab1cf59f92b,panel.contrasts.visual_over_text.candidate_by_seed,
admission_input.arrow_v.test5,0.7423983122907855,fraction,Test5,post_release_frozen,outputs/u2v5_cvpr_ablation_20260817/bootstrap/anchor_vs_b58.json,22210948d03d03e11cf7bb77a01ec7f31c6e737dded8c018663a73715f32aad7,test5.candidate_seed_mean,
finecops.arrow_v.support_coverage,0.955960437272254,fraction,FineCops positives,external,outputs/arrow_finecops_20260819/results.json,22e714a987ab88de749fd793e43c3d1194f161890d181c83bfe32b8b07b5ba11,a_support_contract.coverage,
finecops.matched.arrow_n.negative_image_recall1,0.4387446693992465,fraction,FineCops matched exact-support surface,external_confirmatory_derived,outputs/arrow_finecops_20260819/results.json,22e714a987ab88de749fd793e43c3d1194f161890d181c83bfe32b8b07b5ba11,seed_aggregates.A and bootstrap.contrasts,derived from paired ARROW-V/T and ARROW-T/N gains
finecops.matched.arrow_n.negative_text_recall1,0.42964388109250035,fraction,FineCops matched exact-support surface,external_confirmatory_derived,outputs/arrow_finecops_20260819/results.json,22e714a987ab88de749fd793e43c3d1194f161890d181c83bfe32b8b07b5ba11,seed_aggregates.A and bootstrap.contrasts,derived from paired ARROW-V/T and ARROW-T/N gains
finecops.matched.arrow_n.positive_p1_macro,0.42110618541391404,fraction,FineCops matched exact-support surface,external_confirmatory_derived,outputs/arrow_finecops_20260819/results.json,22e714a987ab88de749fd793e43c3d1194f161890d181c83bfe32b8b07b5ba11,seed_aggregates.A and bootstrap.contrasts,derived from paired ARROW-V/T and ARROW-T/N gains
finecops.matched.arrow_t.negative_image_recall1,0.4542706910114685,fraction,FineCops matched exact-support surface,external_confirmatory_derived,outputs/arrow_finecops_20260819/results.json,22e714a987ab88de749fd793e43c3d1194f161890d181c83bfe32b8b07b5ba11,seed_aggregates.A and bootstrap.contrasts,derived from paired ARROW-V minus ARROW-T gain
finecops.matched.arrow_t.negative_text_recall1,0.4449600120718274,fraction,FineCops matched exact-support surface,external_confirmatory_derived,outputs/arrow_finecops_20260819/results.json,22e714a987ab88de749fd793e43c3d1194f161890d181c83bfe32b8b07b5ba11,seed_aggregates.A and bootstrap.contrasts,derived from paired ARROW-V minus ARROW-T gain
finecops.matched.arrow_t.positive_p1_macro,0.4369934871865549,fraction,FineCops matched exact-support surface,external_confirmatory_derived,outputs/arrow_finecops_20260819/results.json,22e714a987ab88de749fd793e43c3d1194f161890d181c83bfe32b8b07b5ba11,seed_aggregates.A and bootstrap.contrasts,derived from paired ARROW-V minus ARROW-T gain
finecops.matched.arrow_v.negative_image_recall1,0.46139195959094104,fraction,FineCops matched exact-support surface,external_confirmatory_derived,outputs/arrow_finecops_20260819/results.json,22e714a987ab88de749fd793e43c3d1194f161890d181c83bfe32b8b07b5ba11,seed_aggregates.A and bootstrap.contrasts,direct exact-support route metric
finecops.matched.arrow_v.negative_text_recall1,0.4505055077712388,fraction,FineCops matched exact-support surface,external_confirmatory_derived,outputs/arrow_finecops_20260819/results.json,22e714a987ab88de749fd793e43c3d1194f161890d181c83bfe32b8b07b5ba11,seed_aggregates.A and bootstrap.contrasts,direct exact-support route metric
finecops.matched.arrow_v.positive_p1_macro,0.4416156912725271,fraction,FineCops matched exact-support surface,external_confirmatory_derived,outputs/arrow_finecops_20260819/results.json,22e714a987ab88de749fd793e43c3d1194f161890d181c83bfe32b8b07b5ba11,seed_aggregates.A and bootstrap.contrasts,direct exact-support route metric
