key,value,unit,surface,status,source_path,source_sha256,source_json_path,notes
finecops.arrow_t.negative_image_recall1,0.4450844402648799,fraction,FineCops full test,external,outputs/arrow_finecops_20260819/results.json,22e714a987ab88de749fd793e43c3d1194f161890d181c83bfe32b8b07b5ba11,seed_aggregates.B.image_recall1.mean,
finecops.arrow_t.negative_text_recall1,0.43682494395761157,fraction,FineCops full test,external,outputs/arrow_finecops_20260819/results.json,22e714a987ab88de749fd793e43c3d1194f161890d181c83bfe32b8b07b5ba11,seed_aggregates.B.text_recall1.mean,
finecops.arrow_t.positive_p1_macro,0.43146046237770036,fraction,FineCops full test,external,outputs/arrow_finecops_20260819/results.json,22e714a987ab88de749fd793e43c3d1194f161890d181c83bfe32b8b07b5ba11,seed_aggregates.B.precision1_macro.mean,
finecops.frozen_base.negative_image_recall1,0.43975549547431525,fraction,FineCops full test,external,outputs/arrow_finecops_20260819/results.json,22e714a987ab88de749fd793e43c3d1194f161890d181c83bfe32b8b07b5ba11,seed_aggregates.B58.image_recall1.mean,
finecops.frozen_base.negative_text_recall1,0.42663541878948436,fraction,FineCops full test,external,outputs/arrow_finecops_20260819/results.json,22e714a987ab88de749fd793e43c3d1194f161890d181c83bfe32b8b07b5ba11,seed_aggregates.B58.text_recall1.mean,
finecops.frozen_base.positive_p1_macro,0.4310995455823432,fraction,FineCops full test,external,outputs/arrow_finecops_20260819/results.json,22e714a987ab88de749fd793e43c3d1194f161890d181c83bfe32b8b07b5ba11,seed_aggregates.B58.precision1_macro.mean,
finecops.official_exact.frozen_base.negative_image_auroc_type_macro,0.5955,fraction,FineCops full test (official historical level-1-positive scope),external_official_exact,docs/paper_cvpr_arrow_finecops_results_20260819.md,2885c4d132faada762845141012c274dd244f64ec33a869838071e626bd19599,,byte-exact replay through the pinned official evaluator; not the audited all-positive metric
finecops.official_exact.frozen_base.negative_text_auroc_type_macro,0.5887,fraction,FineCops full test (official historical level-1-positive scope),external_official_exact,docs/paper_cvpr_arrow_finecops_results_20260819.md,2885c4d132faada762845141012c274dd244f64ec33a869838071e626bd19599,,byte-exact replay through the pinned official evaluator; not the audited all-positive metric
finecops.official_exact.isolated_rejector.negative_image_auroc_type_macro,0.6069,fraction,FineCops full test (official historical level-1-positive scope),external_official_exact,docs/paper_cvpr_arrow_finecops_results_20260819.md,2885c4d132faada762845141012c274dd244f64ec33a869838071e626bd19599,,byte-exact replay through the pinned official evaluator; not the audited all-positive metric
finecops.official_exact.isolated_rejector.negative_text_auroc_type_macro,0.6088,fraction,FineCops full test (official historical level-1-positive scope),external_official_exact,docs/paper_cvpr_arrow_finecops_results_20260819.md,2885c4d132faada762845141012c274dd244f64ec33a869838071e626bd19599,,byte-exact replay through the pinned official evaluator; not the audited all-positive metric
finecops.original_ogc.native_max.negative_image_auroc_type_macro,0.5392444444444444,fraction,FineCops full test (official historical level-1-positive scope),post_hoc_corrective_official_exact,outputs/arrow_original_gdino_ogc_finecops_20260819/official_exact/expression_max/receipt.json,4b908ecdc2854f44f33555491a3800ca8d512f33007c88b3f6b589344e87351d,auroc,upstream-native max-token scorer; unweighted official type-by-level macro
finecops.original_ogc.native_max.negative_image_recall1,0.4197719525096979,fraction,FineCops full test,post_hoc_corrective_input_matched_baseline,outputs/arrow_original_gdino_ogc_finecops_20260819/results.json,1efdf6a3d921141b0b918bbaeb06ff07b9a94933cac85fb9a2895730ef3e6d89,metrics.expression_max.rejection.image.recall1_strict_tie_fail,upstream-native max-token scorer; audited strict-tie micro recall
finecops.original_ogc.native_max.negative_text_auroc_type_macro,0.5423199999999999,fraction,FineCops full test (official historical level-1-positive scope),post_hoc_corrective_official_exact,outputs/arrow_original_gdino_ogc_finecops_20260819/official_exact/expression_max/receipt.json,4b908ecdc2854f44f33555491a3800ca8d512f33007c88b3f6b589344e87351d,auroc,upstream-native max-token scorer; unweighted official type-by-level macro
finecops.original_ogc.native_max.negative_text_recall1,0.4199103321785205,fraction,FineCops full test,post_hoc_corrective_input_matched_baseline,outputs/arrow_original_gdino_ogc_finecops_20260819/results.json,1efdf6a3d921141b0b918bbaeb06ff07b9a94933cac85fb9a2895730ef3e6d89,metrics.expression_max.rejection.text.recall1_strict_tie_fail,upstream-native max-token scorer; audited strict-tie micro recall
finecops.original_ogc.native_max.positive_p1_macro,0.44820849033710836,fraction,FineCops full test,post_hoc_corrective_input_matched_baseline,outputs/arrow_original_gdino_ogc_finecops_20260819/results.json,1efdf6a3d921141b0b918bbaeb06ff07b9a94933cac85fb9a2895730ef3e6d89,metrics.expression_max.precision1_macro,upstream-native max-token scorer
finecops.ranker_rejector.negative_image_recall1,0.44759217898985143,fraction,FineCops full test,external,outputs/arrow_finecops_20260819/results.json,22e714a987ab88de749fd793e43c3d1194f161890d181c83bfe32b8b07b5ba11,seed_aggregates.R100_D3.image_recall1.mean,
finecops.ranker_rejector.negative_text_recall1,0.4384552679845119,fraction,FineCops full test,external,outputs/arrow_finecops_20260819/results.json,22e714a987ab88de749fd793e43c3d1194f161890d181c83bfe32b8b07b5ba11,seed_aggregates.R100_D3.text_recall1.mean,
finecops.ranker_rejector.positive_p1_macro,0.4301988887267871,fraction,FineCops full test,external,outputs/arrow_finecops_20260819/results.json,22e714a987ab88de749fd793e43c3d1194f161890d181c83bfe32b8b07b5ba11,seed_aggregates.R100_D3.precision1_macro.mean,
gref.full.frozen_base.aupr,0.7200908237231288,fraction,gRefCOCO full restricted slice,external,outputs/arrow_grefcoco_20260820/results.json,3b4841e0c87adb911b219f7bc7588b740e2b9ed346ec9630f4995ffa7ce4bde7,surfaces.full.b58.aupr,
gref.full.frozen_base.auroc,0.6894908756625101,fraction,gRefCOCO full restricted slice,external,outputs/arrow_grefcoco_20260820/results.json,3b4841e0c87adb911b219f7bc7588b740e2b9ed346ec9630f4995ffa7ce4bde7,surfaces.full.b58.auroc,
gref.full.frozen_base.fpr95,0.7410371669773052,fraction,gRefCOCO full restricted slice,external,outputs/arrow_grefcoco_20260820/results.json,3b4841e0c87adb911b219f7bc7588b740e2b9ed346ec9630f4995ffa7ce4bde7,surfaces.full.b58.fpr95,
gref.full.isolated_rejector.aupr,0.7381128522241963,fraction,gRefCOCO full restricted slice,external,outputs/arrow_grefcoco_20260820/results.json,3b4841e0c87adb911b219f7bc7588b740e2b9ed346ec9630f4995ffa7ce4bde7,surfaces.full.d3_summary.aupr.mean,
gref.full.isolated_rejector.auroc,0.7174555646966688,fraction,gRefCOCO full restricted slice,external,outputs/arrow_grefcoco_20260820/results.json,3b4841e0c87adb911b219f7bc7588b740e2b9ed346ec9630f4995ffa7ce4bde7,surfaces.full.d3_summary.auroc.mean,
gref.full.isolated_rejector.fixed_tpr,0.9010349102020814,fraction,gRefCOCO full restricted slice,external_fixed_source_threshold,outputs/arrow_grefcoco_20260820/results.json,3b4841e0c87adb911b219f7bc7588b740e2b9ed346ec9630f4995ffa7ce4bde7,surfaces.full.fixed_threshold_summary.positive_tpr.mean,
gref.full.isolated_rejector.fpr95,0.7082556737199868,fraction,gRefCOCO full restricted slice,external,outputs/arrow_grefcoco_20260820/results.json,3b4841e0c87adb911b219f7bc7588b740e2b9ed346ec9630f4995ffa7ce4bde7,surfaces.full.d3_summary.fpr95.mean,
gref.rejector_supervision_disjoint.frozen_base.aupr,0.7192195671794328,fraction,gRefCOCO rejector_supervision_disjoint restricted slice,external,outputs/arrow_grefcoco_20260820/results.json,3b4841e0c87adb911b219f7bc7588b740e2b9ed346ec9630f4995ffa7ce4bde7,surfaces.d3_disjoint.b58.aupr,
gref.rejector_supervision_disjoint.frozen_base.auroc,0.6868568553019366,fraction,gRefCOCO rejector_supervision_disjoint restricted slice,external,outputs/arrow_grefcoco_20260820/results.json,3b4841e0c87adb911b219f7bc7588b740e2b9ed346ec9630f4995ffa7ce4bde7,surfaces.d3_disjoint.b58.auroc,
gref.rejector_supervision_disjoint.frozen_base.fpr95,0.7497434581836839,fraction,gRefCOCO rejector_supervision_disjoint restricted slice,external,outputs/arrow_grefcoco_20260820/results.json,3b4841e0c87adb911b219f7bc7588b740e2b9ed346ec9630f4995ffa7ce4bde7,surfaces.d3_disjoint.b58.fpr95,
gref.rejector_supervision_disjoint.isolated_rejector.aupr,0.7372703140325821,fraction,gRefCOCO rejector_supervision_disjoint restricted slice,external,outputs/arrow_grefcoco_20260820/results.json,3b4841e0c87adb911b219f7bc7588b740e2b9ed346ec9630f4995ffa7ce4bde7,surfaces.d3_disjoint.d3_summary.aupr.mean,
gref.rejector_supervision_disjoint.isolated_rejector.auroc,0.7149510600729733,fraction,gRefCOCO rejector_supervision_disjoint restricted slice,external,outputs/arrow_grefcoco_20260820/results.json,3b4841e0c87adb911b219f7bc7588b740e2b9ed346ec9630f4995ffa7ce4bde7,surfaces.d3_disjoint.d3_summary.auroc.mean,
gref.rejector_supervision_disjoint.isolated_rejector.fixed_tpr,0.8971516861480585,fraction,gRefCOCO rejector_supervision_disjoint restricted slice,external_fixed_source_threshold,outputs/arrow_grefcoco_20260820/results.json,3b4841e0c87adb911b219f7bc7588b740e2b9ed346ec9630f4995ffa7ce4bde7,surfaces.d3_disjoint.fixed_threshold_summary.positive_tpr.mean,
